"genus","age","n_species","family"
"Capuronia",23.283,1,"Lythraceae"
"Castratella",9.877,2,"Melastomataceae"
"Catanthera",NA,19,"Melastomataceae"
"Catocoryne",9.86699999999999,NA,NA
"Centradenia",16.102,8,"Melastomataceae"
"Centradeniastrum",NA,2,"Melastomataceae"
"Centronia",22.625,5,"Melastomataceae"
"Chaetogastra",NA,115,"Melastomataceae"
"Chaetolepis",5.63799999999999,14,"Melastomataceae"
"Chaetostoma",5.72299999999998,8,"Melastomataceae"
"Chalybea",31.882,11,"Melastomataceae"
"Chamaenerion",21.041,NA,NA
"Chamelaucium",21.027,23,"Myrtaceae"
"Chamguava",36.864,5,"Myrtaceae"
"Charianthus",8.68699999999998,NA,NA
"Cheyniana",29.477,2,"Myrtaceae"
"Chylismia",17.141,41,"Onagraceae"
"Chylismiella",NA,1,"Onagraceae"
"Cincinnobotrys",28.768,9,"Melastomataceae"
"Circaea",NA,24,"Onagraceae"
"Clarkia",16.552,74,"Onagraceae"
"Clidemia",12.301,NA,NA
"Cloezia",60.429,9,"Myrtaceae"
"Combretum",70.977,325,"Combretaceae"
"Comolia",5.29199999999999,14,"Melastomataceae"
"Comoliopsis",NA,3,"Melastomataceae"
"Conocarpus",77.75,2,"Combretaceae"
"Conostegia",12.746,NA,NA
"Conothamnus",24.159,NA,NA
"Corymbia",16.893,110,"Myrtaceae"
"Corynanthera",28.11,1,"Myrtaceae"
"Crenea",17.707,2,"Lythraceae"
"Creochiton",NA,15,"Melastomataceae"
"Crypteronia",NA,9,"Crypteroniaceae"
"Cuphea",28.011,294,"Lythraceae"
"Curitiba",40.79,1,"Myrtaceae"
"Cyathostemon",20.181,7,"Myrtaceae"
"Cyphotheca",19.879,1,"Melastomataceae"
"Dactylocladus",NA,1,"Crypteroniaceae"
"Dansiea",17.747,2,"Combretaceae"
"Darwinia",16.066,54,"Myrtaceae"
"Decaspermum",56.183,38,"Myrtaceae"
"Decodon",51.031,1,"Lythraceae"
"Derosiphia",NA,1,"Melastomataceae"
"Desmoscelis",20.537,2,"Melastomataceae"
"Dicellandra",26.47,7,"Melastomataceae"
"Dichaetanthera",9.39899999999999,43,"Melastomataceae"
"Dicrananthera",5.29199999999999,NA,NA
"Didiplis",26.476,1,"Lythraceae"
"Dinophora",NA,3,"Melastomataceae"
"Dionycha",NA,3,"Melastomataceae"
"Dionychastrum",NA,1,"Melastomataceae"
"Diplusodon",53.295,114,"Lythraceae"
"Dissochaeta",45.349,58,"Melastomataceae"
"Dissotidendron",NA,19,"Melastomataceae"
"Dissotis",12.268,63,"Melastomataceae"
"Dolichoura",14.569,NA,NA
"Driessenia",NA,21,"Melastomataceae"
"Duabanga",38.103,3,"Lythraceae"
"Dupineta",NA,5,"Melastomataceae"
"Dyonicha",7.78499999999998,NA,NA
"Endonema",13.976,NA,NA
"Enekbatus",38.88,10,"Myrtaceae"
"Epilobium",21.041,306,"Onagraceae"
"Eremothera",17.391,13,"Onagraceae"
"Ericomyrtus",28.273,4,"Myrtaceae"
"Eriocnema",15.992,2,"Melastomataceae"
"Erisma",27.828,27,"Vochysiaceae"
"Erismadelphus",18.837,4,"Vochysiaceae"
"Ernestia",14.337,15,"Melastomataceae"
"Eucalyptopsis",29.21,2,"Myrtaceae"
"Eucalyptus",61.946,1096,"Myrtaceae"
"Eugenia",32.161,1212,"Myrtaceae"
"Eulobus",8.04399999999998,4,"Onagraceae"
"Euryomyrtus",37.544,9,"Myrtaceae"
"Feijoa",45.021,1,"Myrtaceae"
"Feliciadamia",NA,1,"Melastomataceae"
"Fordiophyton",22.741,15,"Melastomataceae"
"Fritzschia",13.862,12,"Melastomataceae"
"Fuchsia",50.768,129,"Onagraceae"
"Galpinia",23.283,1,"Lythraceae"
"Gayophytum",16.552,11,"Onagraceae"
"Getonia",55.379,1,"Combretaceae"
"Ginoria",19.473,15,"Lythraceae"
"Glischrocolla",12.412,NA,NA
"Gongylocarpus",43.537,4,"Onagraceae"
"Gossia",52.274,39,"Myrtaceae"
"Graffenrieda",22.625,73,"Melastomataceae"
"Gravesia",30.502,125,"Melastomataceae"
"Guiera",55.379,1,"Combretaceae"
"Guyonia",17.733,15,"Melastomataceae"
"Harmogia",NA,1,"Myrtaceae"
"Hauya",NA,4,"Onagraceae"
"Heimia",45.048,4,"Lythraceae"
"Hemifuchsia",NA,1,"Onagraceae"
"Henriettea",22.94,68,"Melastomataceae"
"Henriettella",22.94,NA,NA
"Heteroblemma",NA,15,"Melastomataceae"
"Heterocentron",7.24699999999999,14,"Melastomataceae"
"Heteropyxis",22.878,3,"Myrtaceae"
"Heterotis",15.99,6,"Melastomataceae"
"Homalocalyx",NA,11,"Myrtaceae"
"Homalospermum",47.8,1,"Myrtaceae"
"Homoranthus",20.446,31,"Myrtaceae"
"Huberia",8.14299999999999,37,"Melastomataceae"
"Hypocalymma",18.209,28,"Myrtaceae"
"Hysterobaeckea",NA,16,"Myrtaceae"
"Kanakomyrtus",48.372,6,"Myrtaceae"
"Kania",60.299,6,"Myrtaceae"
"Kardomia",29.294,6,"Myrtaceae"
"Kendrickia",NA,1,"Melastomataceae"
"Kerriothyrsus",NA,1,"Melastomataceae"
"Killipia",9.86699999999999,NA,NA
"Kirkbridea",NA,2,"Melastomataceae"
"Kjellbergiodendron",46.478,1,"Myrtaceae"
"Koehneria",15.97,1,"Lythraceae"
"Korupodendron",18.837,1,"Vochysiaceae"
"Kunzea",37.928,78,"Myrtaceae"
"Lafoensia",NA,8,"Lythraceae"
"Lagerstroemia",38.103,61,"Lythraceae"
"Laguncularia",86.423,1,"Combretaceae"
"Lamarchea",25.674,NA,NA
"Lavoisiera",5.20599999999999,42,"Melastomataceae"
"Lawsonia",40.745,1,"Lythraceae"
"Leandra",4.08399999999999,NA,NA
"Legrandia",NA,1,"Myrtaceae"
"Leiostegia",11.749,NA,NA
"Lenwebbia",36.035,2,"Myrtaceae"
"Leptospermum",34.705,96,"Myrtaceae"
"Lijndenia",24.789,16,"Melastomataceae"
"Lindsayomyrtus",68.492,1,"Myrtaceae"
"Lithobium",51.653,1,"Melastomataceae"
"Lithomyrtus",47.431,11,"Myrtaceae"
"Lopezia",46.218,35,"Onagraceae"
"Lophomyrtus",36.035,3,"Myrtaceae"
"Lophostemon",42.483,6,"Myrtaceae"
"Loreya",15.628,NA,NA
"Loricalepis",23.525,2,"Melastomataceae"
"Lourtella",48.879,1,"Lythraceae"
"Ludwigia",82.6,103,"Onagraceae"
"Luma",45.828,2,"Myrtaceae"
"Lumnitzera",73.807,5,"Combretaceae"
"Lysicarpus",67.149,1,"Myrtaceae"
"Lythrum",51.031,43,"Lythraceae"
"Macairea",22.877,23,"Melastomataceae"
"Macrocentrum",27.359,28,"Melastomataceae"
"Macrolenes",NA,17,"Melastomataceae"
"Macropteranthes",17.747,5,"Combretaceae"
"Maguireanthus",NA,1,"Melastomataceae"
"Maieta",12.301,NA,NA
"Malleostemon",19.69,14,"Myrtaceae"
"Mallophyton",NA,1,"Melastomataceae"
"Marcetia",13.862,30,"Melastomataceae"
"Mecranium",11.747,NA,NA
"Medinilla",21.239,381,"Melastomataceae"
"Megacorax",NA,1,"Onagraceae"
"Melaleuca",31.813,465,"Myrtaceae"
"Melastoma",12.861,110,"Melastomataceae"
"Melastomastrum",17.733,9,"Melastomataceae"
"Memecylon",3.94099999999999,400,"Melastomataceae"
"Meriania",21.625,111,"Melastomataceae"
"Merianthera",34.596,7,"Melastomataceae"
"Metrosideros",60.299,78,"Myrtaceae"
"Miconia",16.68,1927,"Melastomataceae"
"Microlepis",9.09399999999999,NA,NA
"Microlicia",5.72299999999998,190,"Melastomataceae"
"Micromyrtus",28.11,52,"Myrtaceae"
"Mitrantia",49.049,1,"Myrtaceae"
"Monochaetum",5.63799999999999,56,"Melastomataceae"
"Monolena",30.215,16,"Melastomataceae"
"Mosiera",NA,46,"Myrtaceae"
"Mouriri",21.928,105,"Melastomataceae"
"Myrceugenia",52.291,60,"Myrtaceae"
"Myrcia",40.224,769,"Myrtaceae"
"Myrcianthes",39.218,39,"Myrtaceae"
"Myrciaria",33.889,32,"Myrtaceae"
"Myriaspora",21.229,NA,NA
"Myrrhinium",39.164,3,"Myrtaceae"
"Myrtastrum",60.613,1,"Myrtaceae"
"Myrtella",47.431,2,"Myrtaceae"
"Myrteola",35.952,5,"Myrtaceae"
"Myrtus",28.339,6,"Myrtaceae"
"Neblinanthera",NA,1,"Melastomataceae"
"Necramium",11.322,NA,NA
"Neodriessenia",NA,6,"Melastomataceae"
"Neofabricia",34.705,3,"Myrtaceae"
"Neoholmgrenia",12.766,2,"Onagraceae"
"Neomitranthes",17.444,13,"Myrtaceae"
"Neomyrtus",NA,1,"Myrtaceae"
"Nepsera",13.186,1,"Melastomataceae"
"Nerophila",NA,1,"Melastomataceae"
"Noterophila",13.399,8,"Melastomataceae"
"Nothodissotis",NA,2,"Melastomataceae"
"Ochrosperma",41.67,6,"Myrtaceae"
"Ochthephilus",23.735,1,"Melastomataceae"
"Ochthocharis",NA,11,"Melastomataceae"
"Octamyrtus",41.785,6,"Myrtaceae"
"Oenothera",8.04399999999998,221,"Onagraceae"
"Olinia",33.068,14,"Penaeaceae"
"Opisthocentra",46.693,1,"Melastomataceae"
"Osbeckia",12.02,53,"Melastomataceae"
"Osbornia",NA,1,"Myrtaceae"
"Ossaea",4.08399999999999,8,"Melastomataceae"
"Oxymyrrhine",17.416,4,"Myrtaceae"
"Oxyspora",26.393,38,"Melastomataceae"
"Pachyanthus",11.852,NA,NA
"Pachycentria",NA,10,"Melastomataceae"
"Pachyloma",22.165,4,"Melastomataceae"
"Pehria",11.847,1,"Lythraceae"
"Pemphis",47.643,1,"Lythraceae"
"Penaea",10.186,27,"Penaeaceae"
"Pericalymma",20.976,6,"Myrtaceae"
"Phainantha",37.318,5,"Melastomataceae"
"Phyllagathis",24.701,78,"Melastomataceae"
"Physeterostemon",15.992,5,"Melastomataceae"
"Physocalymma",51.596,1,"Lythraceae"
"Pileanthus",21.027,10,"Myrtaceae"
"Pilidiostigma",48.372,6,"Myrtaceae"
"Pilocosta",12,5,"Melastomataceae"
"Pimenta",40.79,28,"Myrtaceae"
"Plagiopetalum",NA,7,"Melastomataceae"
"Pleiochiton",23.301,NA,NA
"Pleroma",10.737,162,"Melastomataceae"
"Plethiandra",21.239,8,"Melastomataceae"
"Pleurocalyptus",21.925,2,"Myrtaceae"
"Pleurophora",28.011,8,"Lythraceae"
"Plinia",32.829,80,"Myrtaceae"
"Poikilogyne",NA,32,"Melastomataceae"
"Poilannammia",NA,4,"Melastomataceae"
"Poteranthera",NA,5,"Melastomataceae"
"Potheranthera",9.61599999999999,NA,NA
"Preussiella",NA,2,"Melastomataceae"
"Pseudanamomis",32.161,NA,NA
"Pseudocaryophyllus",28.339,NA,NA
"Pseudodissochaeta",NA,6,"Melastomataceae"
"Pseudoernestia",20.187,2,"Melastomataceae"
"Psidium",39.164,103,"Myrtaceae"
"Psiloxylon",22.878,1,"Myrtaceae"
"Pternandra",66.219,21,"Melastomataceae"
"Pterogastra",18.89,4,"Melastomataceae"
"Pterolepis",18.89,16,"Melastomataceae"
"Punica",40.485,2,"Lythraceae"
"Purpureostemon",39.957,1,"Myrtaceae"
"Qualea",21.366,66,"Vochysiaceae"
"Quipuanthus",29.012,1,"Melastomataceae"
"Rhexia",22.165,15,"Melastomataceae"
"Rhodamnia",58.486,43,"Myrtaceae"
"Rhodomyrtus",41.785,28,"Myrtaceae"
"Rhynchanthera",18.037,19,"Melastomataceae"
"Rhynchocalyx",31.381,1,"Penaeaceae"
"Rinzia",37.544,21,"Myrtaceae"
"Ristantia",49.049,3,"Myrtaceae"
"Rostranthera",NA,1,"Melastomataceae"
"Rotala",26.476,76,"Lythraceae"
"Rousseauxia",9.34799999999998,17,"Melastomataceae"
"Ruizterania",NA,16,"Vochysiaceae"
"Rupestrea",38.151,NA,NA
"Salpinga",34.536,14,"Melastomataceae"
"Salvertia",14.145,1,"Vochysiaceae"
"Sandemania",11.749,1,"Melastomataceae"
"Sannantha",27.076,16,"Myrtaceae"
"Sarcopyramis",26.062,4,"Melastomataceae"
"Scholtzia",18.216,43,"Myrtaceae"
"Schwackaea",12,1,"Melastomataceae"
"Scorpiothyrsus",NA,3,"Melastomataceae"
"Seorsus",27.619,4,"Myrtaceae"
"Siphanthera",19.329,19,"Melastomataceae"
"Siphoneugena",17.444,14,"Myrtaceae"
"Sonderothamnus",10.186,NA,NA
"Sonerila",26.062,190,"Melastomataceae"
"Sonneratia",31.902,9,"Lythraceae"
"Spathandra",27.033,3,"Melastomataceae"
"Sphaerantia",45.956,2,"Myrtaceae"
"Sporoxeia",NA,7,"Melastomataceae"
"Stanmarkia",NA,2,"Melastomataceae"
"Stenodon",5.58399999999999,2,"Melastomataceae"
"Stenostegia",37.726,1,"Myrtaceae"
"Stockwellia",29.21,1,"Myrtaceae"
"Strephonema",100.245,4,"Combretaceae"
"Stussenia",NA,1,"Melastomataceae"
"Stylapterus",9.69999999999999,NA,NA
"Styrophyton",12.732,1,"Melastomataceae"
"Svitramia",9.09399999999999,NA,NA
"Syncarpia",72.544,5,"Myrtaceae"
"Syzygium",70.845,1233,"Myrtaceae"
"Taraxia",19.629,4,"Onagraceae"
"Tashiroea",NA,12,"Melastomataceae"
"Tateanthus",NA,1,"Melastomataceae"
"Taxandria",20.976,13,"Myrtaceae"
"Temu",NA,1,"Myrtaceae"
"Terminalia",59.794,319,"Combretaceae"
"Tessmannianthus",37.138,7,"Melastomataceae"
"Tetrapora",17.416,5,"Myrtaceae"
"Tetrapteron",11.2,2,"Onagraceae"
"Tetrataxis",19.473,1,"Lythraceae"
"Tetrazygia",7.33699999999999,NA,NA
"Thaleropia",60.429,3,"Myrtaceae"
"Thryptomene",5.63699999999999,49,"Myrtaceae"
"Tibouchina",21.459,46,"Melastomataceae"
"Tibouchinopsis",12.773,NA,NA
"Tigridiopalma",27.347,1,"Melastomataceae"
"Tococa",17.292,NA,NA
"Trapa",31.902,16,"Lythraceae"
"Trembleya",5.20599999999999,17,"Melastomataceae"
"Triolena",30.215,29,"Melastomataceae"
"Triplarina",25.163,9,"Myrtaceae"
"Tristania",NA,1,"Myrtaceae"
"Tristaniopsis",61.792,53,"Myrtaceae"
"Tristemma",9.39899999999999,25,"Melastomataceae"
"Tryssophyton",23.702,2,"Melastomataceae"
"Ugni",35.952,4,"Myrtaceae"
"Uromyrtus",56.845,22,"Myrtaceae"
"Verticordia",17.733,170,"Myrtaceae"
"Vietsenia",NA,4,"Melastomataceae"
"Vochysia",14.145,160,"Vochysiaceae"
"Votomita",21.928,10,"Melastomataceae"
"Warneckea",3.94099999999999,49,"Melastomataceae"
"Welchiodendron",42.483,1,"Myrtaceae"
"Whiteodendron",46.478,1,"Myrtaceae"
"Woodfordia",15.97,2,"Lythraceae"
"Wurdastom",18.079,8,"Melastomataceae"
"Xanthomyrtus",64.738,28,"Myrtaceae"
"Xanthostemon",21.925,49,"Myrtaceae"
"Xylonagra",NA,3,"Onagraceae"
