"genera","family","most_common_life_form","keep"
"Schwackaea","Melastomataceae",NA,"YES"
"Seorsus","Myrtaceae","woody perennial","YES"
"Siphanthera","Melastomataceae",NA,"YES"
"Siphoneugena","Myrtaceae","woody perennial","YES"
"Sonderothamnus",NA,NA,"YES"
"Sonerila","Melastomataceae","woody perennial","YES"
"Sonneratia","Lythraceae","woody perennial","YES"
"Spathandra","Melastomataceae",NA,"YES"
"Sphaerantia","Myrtaceae","woody perennial","YES"
"Stenodon","Melastomataceae",NA,"YES"
"Stenostegia","Myrtaceae","woody perennial","YES"
"Stockwellia","Myrtaceae","woody perennial","YES"
"Strephonema","Combretaceae","woody perennial","YES"
"Stylapterus",NA,NA,"YES"
"Styrophyton","Melastomataceae",NA,"YES"
"Svitramia",NA,NA,"YES"
"Syncarpia","Myrtaceae","woody perennial","YES"
"Syzygium","Myrtaceae","woody perennial","YES"
"Taraxia","Onagraceae","herbaceous perennial","YES"
"Taxandria","Myrtaceae","woody perennial","YES"
"Terminalia","Combretaceae","woody perennial","YES"
"Tessmannianthus","Melastomataceae",NA,"YES"
"Tetrapora","Myrtaceae","woody perennial","YES"
"Tetrapteron","Onagraceae","annual","YES"
"Tetrataxis","Lythraceae","woody perennial","YES"
"Tetrazygia",NA,NA,"YES"
"Thaleropia","Myrtaceae","woody perennial","YES"
"Thryptomene","Myrtaceae","woody perennial","YES"
"Tibouchina","Melastomataceae",NA,"YES"
"Tibouchinopsis",NA,NA,"YES"
"Tigridiopalma","Melastomataceae",NA,"YES"
"Tococa",NA,NA,"YES"
"Trapa","Lythraceae","annual","YES"
"Trembleya","Melastomataceae",NA,"YES"
"Triolena","Melastomataceae","epiphyte","YES"
"Triplarina","Myrtaceae","woody perennial","YES"
"Tristaniopsis","Myrtaceae","woody perennial","YES"
"Tristemma","Melastomataceae","woody perennial","YES"
"Tryssophyton","Melastomataceae","herbaceous perennial","YES"
"Ugni","Myrtaceae","woody perennial","YES"
"Uromyrtus","Myrtaceae","woody perennial","YES"
"Verticordia","Myrtaceae","woody perennial","YES"
"Vochysia","Vochysiaceae","woody perennial","YES"
"Votomita","Melastomataceae",NA,"YES"
"Warneckea","Melastomataceae",NA,"YES"
"Welchiodendron","Myrtaceae","woody perennial","YES"
"Whiteodendron","Myrtaceae","woody perennial","YES"
"Woodfordia","Lythraceae","woody perennial","YES"
"Wurdastom","Melastomataceae","woody perennial","YES"
"Xanthomyrtus","Myrtaceae","woody perennial","YES"
"Xanthostemon","Myrtaceae","woody perennial","YES"
