"genera","most_common_life_form"
"Taraxia","herbs"
"Nothodissotis","shrubs_or_trees"
"Trapa","herbs"
"Andesanthus",NA
"Lumnitzera","shrubs_or_trees"
"Lafoensia","trees"
"Xylonagra",NA
"Lopezia","herbs"
"Ruizterania","trees"
"Camissoniopsis","herbs"
"Chylismia","herbs"
"Eremothera","herbs"
"Callisthene","shrubs_or_trees"
"Camissonia","herbs"
"Circaea","herbs"
"Clarkia","herbs"
"Metrosideros","shrubs_or_trees"
"Erismadelphus","trees"
"Fuchsia","shrubs"
"Gayophytum","herbs"
"Ginoria","shrubs"
"Gongylocarpus","herbs"
"Hauya","trees"
"Lasiandra",NA
"Micromyrtus","shrubs"
"Mitrantia","trees"
"Mosiera","shrubs_or_trees"
"Myrceugenia","shrubs_or_trees"
"Myrcia","shrubs_or_trees"
"Myrcialeucus",NA
"Myrcianthes","shrubs_or_trees"
"Myrciaria","shrubs_or_trees"
"Myrrhinium","shrubs_or_trees"
"Myrtastrum","shrubs_or_trees"
"Myrtella","shrubs_or_trees"
"Myrteola","shrubs"
"Myrtus","shrubs_or_trees"
"Neofabricia","shrubs_or_trees"
"Neomitranthes","trees"
"Neomyrtus","shrubs_or_trees"
"Ochrosperma","shrubs"
"Octamyrtus","trees"
"Archirhodomyrtus","trees"
"Osbornia","shrubs_or_trees"
"Oxymyrrhine","shrubs"
"Paramitranthes",NA
"Pericalymma","shrubs"
"Arillastrum","trees"
"Pileanthus","shrubs"
"Pilidiostigma","shrubs_or_trees"
"Pimenta","trees"
"Plectronia",NA
"Pleurocalyptus","shrubs_or_trees"
"Plinia","shrubs_or_trees"
"Acca","shrubs"
"Accara","shrubs"
"Pseudocaryophyllus",NA
"Psidium","shrubs_or_trees"
"Psiloxylon","trees"
"Purpureostemon","shrubs"
"Astartea","shrubs"
"Asteromyrtus","shrubs_or_trees"
"Rhodamnia","shrubs_or_trees"
"Rhodomyrtus","shrubs_or_trees"
"Rinzia","shrubs"
"Ristantia","trees"
"Aulomyrcia",NA
"Austromyrtus","shrubs"
"Axinandra","trees"
"Babingtonia","shrubs"
"Backhousia","shrubs_or_trees"
"Scholtzia","shrubs"
"Baeckea","shrubs"
"Siphoneugena","trees"
"Sphaerantia","trees"
"Balaustion","shrubs"
"Stenostegia","shrubs_or_trees"
"Barongia","trees"
"Syncarpia","trees"
"Syzygium","trees"
"Basisperma","trees"
"Temu","shrubs_or_trees"
"Tetrapora","shrubs"
"Thaleropia","trees"
"Thryptomene","shrubs"
"Triplarina","shrubs"
"Tristania","shrubs_or_trees"
"Tristaniopsis","trees"
"Ugni","shrubs_or_trees"
"Acmena","shrubs_or_trees"
"Uromyrtus","shrubs_or_trees"
"Verticordia","shrubs"
"Welchiodendron","shrubs_or_trees"
"Whiteodendron","trees"
"Xanthomyrtus","shrubs_or_trees"
"Xanthostemon","trees"
"Calyptranthes","shrubs_or_trees"
"Campomanesia","shrubs_or_trees"
"Corymbia","trees"
"Darwinia","shrubs"
"Decaspermum","shrubs_or_trees"
"Eucalyptus","trees"
"Eugenia","shrubs_or_trees"
"Gossia","trees"
"Lenwebbia","shrubs_or_trees"
"Stockwellia","trees"
"Blepharocalyx","shrubs_or_trees"
"Actinodium","shrubs"
"Calytrix","shrubs"
"Callistemon","shrubs"
"Calycolpus","shrubs_or_trees"
"Calycorectes","trees"
"Calyptromyrcia",NA
"Jussiaea",NA
"Koehneria",NA
"Korupodendron","trees"
"Laguncularia","shrubs_or_trees"
"Algrizea","shrubs"
"Astus","shrubs"
"Caryophyllus",NA
"Agonis","shrubs"
"Lourtella","shrubs"
"Lawsonia","shrubs_or_trees"
"Lencymmoea",NA
"Taxandria","shrubs"
"Macropteranthes","trees"
"Kardomia","shrubs"
"Seorsus","shrubs"
"Sannantha","shrubs"
"Curitiba","shrubs_or_trees"
"Chamelaucium","shrubs"
"Chamguava","shrubs_or_trees"
"Physopodium",NA
"Pentaptera",NA
"Pteleopsis","trees"
"Rhynchocalyx","trees"
"Cloezia","shrubs_or_trees"
"Tetrataxis","trees"
"Cheyniana","shrubs"
"Kanakomyrtus","shrubs_or_trees"
"Enekbatus","shrubs"
"Woodfordia","shrubs_or_trees"
"Amomyrtella","trees"
"Corynanthera","shrubs"
"Strephonema","trees"
"Cyathostemon","shrubs"
"Ericomyrtus","shrubs"
"Megacorax",NA
"Crypteronia","trees"
"Adhunia",NA
"Beaufortia","shrubs"
"Pleurandra",NA
"Hysterobaeckea","shrubs"
"Pehria","trees"
"Punica","trees"
"Physocalymma","trees"
"Pemphis","shrubs_or_trees"
"Dactylocladus","trees"
"Sonneratia","trees"
"Salvertia","shrubs_or_trees"
"Chylismiella","herbs"
"Eulobus","herbs"
"Tetrapteron","herbs"
"Adenaria","shrubs_or_trees"
"Allosyncarpia","shrubs"
"Buchenavia","trees"
"Bucida",NA
"Cacoucia",NA
"Calopyxis","climbers"
"Aluta","shrubs"
"Chuncoa",NA
"Eucalyptopsis","trees"
"Conocarpus","shrubs_or_trees"
"Crenea","shrubs"
"Alzatea","trees"
"Dansiea","trees"
"Decodon","herbs"
"Didiplis","shrubs"
"Duabanga","trees"
"Enthomanthus",NA
"Epactium",NA
"Amomyrtus","shrubs_or_trees"
"Fatraea",NA
"Galpinia","trees"
"Gaura",NA
"Gauropsis",NA
"Getonia","climbers"
"Euryomyrtus","shrubs"
"Grislea",NA
"Guiera","shrubs_or_trees"
"Heimia","shrubs"
"Feijoa","shrubs_or_trees"
"Hemifuchsia",NA
"Neoholmgrenia","herbs"
"Capuronia","trees"
"Angophora","trees"
"Gomidesia","shrubs_or_trees"
"Harmogia","shrubs"
"Heteropyxis","trees"
"Hexachlamys","shrubs"
"Homalocalyx","shrubs"
