"family","genera","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60"
"Myrtaceae","Homalocalyx",0,1,"open","open","open"
"Myrtaceae","Balaustion",0,1,"open","open","open"
"Myrtaceae","Astus",0,1,"open","open","open"
"Myrtaceae","Stockwellia",0.72,0.28,"closed","closed","closed"
"Myrtaceae","Neofabricia",0,1,"open","open","open"
"Myrtaceae","Pleurocalyptus",1,0,"closed","closed","closed"
"Myrtaceae","Enekbatus",0,1,"open","open","open"
"Myrtaceae","Harmogia",0.68,0.32,"closed","closed","closed"
"Myrtaceae","Purpureostemon",1,0,"closed","closed","closed"
"Myrtaceae","Luma",0.82,0.18,"closed","closed","closed"
"Myrtaceae","Acca",0.6,0.4,"closed","closed","closed"
"Myrtaceae","Myrtus",0.04,0.96,"open","open","open"
"Myrtaceae","Kardomia",0.36,0.64,"open","open","open"
"Myrtaceae","Mitrantia",1,0,"closed","closed","closed"
"Myrtaceae","Aluta",0,1,"open","open","open"
"Myrtaceae","Ristantia",0.99,0.01,"closed","closed","closed"
"Myrtaceae","Lenwebbia",0.94,0.06,"closed","closed","closed"
"Myrtaceae","Sphaerantia",0.96,0.04,"closed","closed","closed"
"Myrtaceae","Barongia",1,0,"closed","closed","closed"
"Myrtaceae","Lysicarpus",0.03,0.97,"open","open","open"
"Myrtaceae","Cheyniana",0,1,"open","open","open"
"Myrtaceae","Anticoryne",0,1,"open","open","open"
"Myrtaceae","Homalospermum",0,1,"open","open","open"
"Myrtaceae","Triplarina",0.73,0.27,"closed","closed","closed"
"Myrtaceae","Oxymyrrhine",0,1,"open","open","open"
"Myrtaceae","Osbornia",0.37,0.63,"open","open","open"
"Myrtaceae","Neomyrtus",0.81,0.19,"closed","closed","closed"
"Myrtaceae","Welchiodendron",0.02,0.98,"open","open","open"
"Myrtaceae","Temu",0.77,0.23,"closed","closed","closed"
"Myrtaceae","Feijoa",0.87,0.13,"closed","closed","closed"
"Myrtaceae","Accara",0.38,0.62,"open","open","open"
"Myrtaceae","Thaleropia",0.43,0.57,"open","open","closed"
"Myrtaceae","Whiteodendron",0.88,0.12,"closed","closed","closed"
"Myrtaceae","Kania",1,0,"closed","closed","closed"
"Myrtaceae","Kanakomyrtus",1,0,"closed","closed","closed"
"Myrtaceae","Lindsayomyrtus",0.93,0.07,"closed","closed","closed"
"Myrtaceae","Seorsus",0.08,0.92,"open","open","open"
"Myrtaceae","Eucalyptopsis",1,0,"closed","closed","closed"
"Myrtaceae","Stenostegia",0,1,"open","open","open"
"Myrtaceae","Chamguava",1,0,"closed","closed","closed"
"Myrtaceae","Arillastrum",1,0,"closed","closed","closed"
"Myrtaceae","Amomyrtus",0.98,0.02,"closed","closed","closed"
"Myrtaceae","Myrtastrum",1,0,"closed","closed","closed"
"Myrtaceae","Corynanthera",0,1,"open","open","open"
"Myrtaceae","Lophomyrtus",0.83,0.17,"closed","closed","closed"
"Myrtaceae","Heteropyxis",0.07,0.93,"open","open","open"
"Myrtaceae","Curitiba",0.97,0.03,"closed","closed","closed"
"Myrtaceae","Basisperma",0,1,"open","open","open"
"Onagraceae","Oenothera",0.35,0.65,"open","open","open"
"Onagraceae","Chamaenerion",0.8,0.2,"closed","closed","closed"
"Onagraceae","Epilobium",0.73,0.27,"closed","closed","closed"
"Onagraceae","Circaea",0.91,0.09,"closed","closed","closed"
"Onagraceae","Ludwigia",0.61,0.39,"closed","closed","closed"
"Onagraceae","Fuchsia",0.89,0.11,"closed","closed","closed"
"Onagraceae","Clarkia",0.25,0.75,"open","open","open"
"Onagraceae","Gayophytum",0.57,0.43,"closed","open","closed"
"Onagraceae","Lopezia",0.91,0.09,"closed","closed","closed"
"Onagraceae","Camissonia",0.13,0.87,"open","open","open"
"Onagraceae","Xylonagra",0,1,"open","open","open"
"Onagraceae","Hauya",0.99,0.01,"closed","closed","closed"
"Onagraceae","Megacorax",1,0,"closed","closed","closed"
"Onagraceae","Eremothera",0.02,0.98,"open","open","open"
"Onagraceae","Chylismia",0.01,0.99,"open","open","open"
"Onagraceae","Camissoniopsis",0.01,0.99,"open","open","open"
"Onagraceae","Tetrapteron",0.01,0.99,"open","open","open"
"Onagraceae","Eulobus",0.05,0.95,"open","open","open"
"Onagraceae","Chylismiella",0,1,"open","open","open"
"Onagraceae","Gongylocarpus",0.68,0.32,"closed","closed","closed"
"Onagraceae","Neoholmgrenia",0.29,0.71,"open","open","open"
"Penaeaceae","Rhynchocalyx",1,0,"closed","closed","closed"
"Penaeaceae","Olinia",0.37,0.63,"open","open","open"
"Penaeaceae","Penaea",0,1,"open","open","open"
"Vochysiaceae","Vochysia",0.48,0.52,"open","open","closed"
"Vochysiaceae","Qualea",0.41,0.59,"open","open","closed"
"Vochysiaceae","Erisma",0.97,0.03,"closed","closed","closed"
"Vochysiaceae","Callisthene",0.23,0.77,"open","open","open"
"Vochysiaceae","Ruizterania",0.95,0.05,"closed","closed","closed"
"Vochysiaceae","Salvertia",0.25,0.75,"open","open","open"
"Vochysiaceae","Korupodendron",1,0,"closed","closed","closed"
"Vochysiaceae","Erismadelphus",0.88,0.12,"closed","closed","closed"
