"Expert","Family","Genus","Species","match_to_tree","Major.Group","Minor.Group","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","Corolla.diameter..min...max...prevalent.","Corolla.diameter.min","Corolla.diameter.max","fm_scoring_corolla_diam","Hypanthium.length..min...max...prevalent.","Family.y","Genus.y","Species.y","Genus.b"
"Fabian Michelangeli","Melastomataceae","Brachyotum","angustifolium","Melastomataceae_Brachyotum","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.9,NA,NA,"vertebrates","biotic","10; 12",NA,NA,NA,"4; 5","Melastomataceae","Brachyotum","angustifolium","Brachyotum"
"Fabian Michelangeli","Penaeaceae","Brachysiphon","fucatus","Penaeaceae_Brachysiphon","","","dry",NA,NA,NA,3,3.4,NA,NA,NA,NA,"n/a",NA,NA,NA,"5; 6","Penaeaceae","Brachysiphon","fucatus","Brachysiphon"
"Darin Penneys","Melastomataceae","Bredia","okinawensis","Melastomataceae_Bredia","Melastomatoideae","Sonerileae","dry",100,100,"100",0.4,1,NA,NA,"insects","biotic","10; 24; 17",NA,NA,NA,"","Melastomataceae","Bredia","okinawensis","Bredia"
"Olivier Maurin, Ian Turner","Combretaceae","Buchenavia","tetraphylla","Combretaceae_Buchenavia","Combretoideae","Combreteae / Terminaliinae","fleshy",1,1,"1",5,40,NA,NA,"insects","biotic","absent",NA,NA,NA,"2.5-5 mm","Combretaceae","Buchenavia","tetraphylla","Buchenavia"
"Fabian Michelangeli","Melastomataceae","Bucquetia","glutinosa","Melastomataceae_Bucquetia","Melastomatoideae","Melastomateae","dry",100,100,"100",NA,NA,NA,NA,"insects","biotic","12; 14",NA,NA,NA,"5","Melastomataceae","Bucquetia","glutinosa","Bucquetia"
"Gustavo Shimizu & Deise Gonçalves","Vochysiaceae","Callisthene","microphylla","Vochysiaceae_Callisthene","","","Dry",3,6,"4.5",5,10,3,7,"insects","biotic","0.5-1.3 cm long",5,13,9,"not measured","Vochysiaceae","Callisthene","microphylla","Callisthene"
"Darin Penneys","Melastomataceae","Calvoa","crassinoda","Melastomataceae_Calvoa","Melastomatoideae","Sonerileae","dry",100,100,"100",0.5,2,NA,NA,"insects","biotic","14; 40; 28",NA,NA,NA,"","Melastomataceae","Calvoa","crassinoda","Calvoa"
"Fabian Michelangeli","Melastomataceae","Calycogonium","rosmarinifolium","Melastomataceae_Calycogonium","Melastomatoideae","Miconieae","fleshy",15,20,"",1.7,2.3,NA,NA,"insects","biotic","4.5; 5.0",NA,NA,NA,"2.5","Melastomataceae","Calycogonium","rosmarinifolium","Calycogonium"
"Paulo Gaem","Myrtaceae","Calycolpus","goetheanus","Myrtaceae_Calycolpus","Myrteae","Myrtinae","Fleshy",3,200,"101.5",1.5,5,NA,NA,"insects","biotic","?",NA,NA,NA,"1; 8; 3-5","Myrtaceae","Calycolpus","goetheanus","Calycolpus"
"Peter Wilson","Myrtaceae","Calytrix","leschenaultii","Myrtaceae_Calytrix","Chamelaucieae","Calytricinae","dry",1,1,"",2.5,3.5,NA,NA,"insects","biotic","10–16 mm",NA,NA,NA,"6–11 mm","Myrtaceae","Calytrix","leschenaultii","Calytrix"
"Fabian Michelangeli","Melastomataceae","Cambessedesia","eichlerii","Melastomataceae_Cambessedesia","Melastomatoideae","Cambessedesieae","dry",100,100,"100",0.5,0.5,0.5,0.5,"insects","biotic","4.5; 5.5",NA,NA,NA,"5; 6","Melastomataceae","Cambessedesia","eichlerii","Cambessedesia"
"Peter Hoch","Onagraceae","Camissonia","tanacetifolia","Onagraceae_Camissonia","Subfam. Onagroideae","Tribe Onagreae","dry",80,160,"120",1.3,2.2,NA,NA,"insects","biotic","10; 45; 20",10,45,27.5,"1.5; 8; 3","Onagraceae","Camissonia","tanacetifolia","Camissonia"
"Shirley Graham","Lythraceae","Capuronia","benoistii","Lythraceae_Capuronia","","","dry",5,8,"6.5",2.9,3.2,2.3,2.7,NA,NA,"1.3 mm",NA,NA,NA,"1-2 mm","Lythraceae","Capuronia","benoistii","Capuronia"
"Fabian Michelangeli","Melastomataceae","Castratella","piloselloides","Melastomataceae_Castratella","Melastomatoideae","Melastomateae","dry",100,100,"100",0.7,0.8,NA,NA,"insects","biotic","8.5; 11",NA,NA,NA,"6","Melastomataceae","Castratella","piloselloides","Castratella"
"Fabian Michelangeli","Melastomataceae","Catocoryne","linnaeoides","Melastomataceae_Catocoryne","Melastomatoideae","Miconieae","fleshy",50,50,"50",0.3,0.4,NA,NA,"insects","biotic","4; 5",NA,NA,NA,"2","Melastomataceae","Catocoryne","linnaeoides","Catocoryne"
"Fabian Michelangeli","Melastomataceae","Centradenia","floribunda","Melastomataceae_Centradenia","Melastomatoideae","Melastomateae","dry",50,50,"50",0.5,0.8,NA,NA,"insects","biotic","4; 7",NA,NA,NA,"2.5; 2.7","Melastomataceae","Centradenia","floribunda","Centradenia"
"Fabian Michelangeli","Melastomataceae","Centronia","laurifolia","Melastomataceae_Centronia","Melastomatoideae","Merianieae","dry",100,100,"100",2,2,2,2,"insects","biotic","14; 15.5",NA,NA,NA,"8","Melastomataceae","Centronia","laurifolia","Centronia"
"Fabian Michelangeli","Melastomataceae","Chaetolepis","lindeniana","Melastomataceae_Chaetolepis","Melastomatoideae","Melastomateae","dry",100,100,"100",0.5,0.8,NA,NA,"insects","biotic","5; 6",NA,NA,NA,"2.5; 3","Melastomataceae","Chaetolepis","lindeniana","Chaetolepis"
"Fabian Michelangeli","Melastomataceae","Chaetostoma","pungens","Melastomataceae_Chaetostoma","Melastomatoideae","Microlicieae","dry",100,100,"100",0.5,0.65,NA,NA,"insects","biotic","9; 12.5",NA,NA,NA,"4; 7","Melastomataceae","Chaetostoma","pungens","Chaetostoma"
"Darin Penneys","Melastomataceae","Chalybea","macrocarpa","Melastomataceae_Chalybea","Melastomatoideae","Blakeeae","fleshy",100,100,"100",0.8,1.6,NA,NA,"vertebrates","biotic","18; 40; 30",NA,NA,NA,"","Melastomataceae","Chalybea","macrocarpa","Chalybea"
"Peter Hoch","Onagraceae","Chemerion","latifolium","Onagraceae_Chamaenerion","Subfam. Onagroideae","Tribe Epilobieae","dry",200,500,"350",1,2.5,NA,NA,"insects","biotic","20; 70; c. 35",20,70,45,"0 (no hypan.)","Onagraceae","Chemerion","latifolium","Chamaenerion"
"Peter Wilson","Myrtaceae","Chamelaucium","uncinatum","Myrtaceae_Chamelaucium","Chamelaucieae","Chamelauciinae","dry",1,1,"",6,6,NA,NA,"insects","biotic","15–20 mm",NA,NA,NA,"4.5–7 mm","Myrtaceae","Chamelaucium","uncinatum","Chamelaucium"
"Karinne Valdemarin","Myrtaceae","Chamguava","schipii","Myrtaceae_Chamguava","Myrteae","Myrtinae","fleshy",1,4,"2,5",6,10,NA,NA,NA,NA,"?",NA,NA,NA,"absent","Myrtaceae","Chamguava","schipii","Chamguava"
"Fabian Michelangeli","Melastomataceae","Charianthus","purpureus","Melastomataceae_Charianthus","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.6,0.95,NA,NA,"vertebrates","biotic","9; 12",NA,NA,NA,"4.2; 5.5","Melastomataceae","Charianthus","purpureus","Charianthus"
"Peter Wilson","Myrtaceae","Cheyniana","microphylla","Myrtaceae_Cheyniana","Chamelaucieae","Hysterobaeckeinae","dry",6,27,"",1.4,1.7,NA,NA,"vertebrates","biotic","10–14 mm",NA,NA,NA,"4–8 mm long","Myrtaceae","Cheyniana","microphylla","Cheyniana"
"Peter Hoch","Onagraceae","Chylismia","claviformis","Onagraceae_Chylismia","Subfam. Onagroideae","Tribe Onagreae","dry",80,160,"120",0.5,1.8,NA,NA,"insects","biotic","2; 30; c. 15",2,30,16,"0.4; 40; ?","Onagraceae","Chylismia","claviformis","Chylismia"
"Darin Penneys","Melastomataceae","Cincinnobotrys","felicis","Melastomataceae_Cincinnobotrys","Melastomatoideae","Sonerileae","dry",100,100,"100",0.3,2,NA,NA,"insects","biotic","7; 32; 15",NA,NA,NA,"","Melastomataceae","Cincinnobotrys","felicis","Cincinnobotrys"
"Peter Hoch","Onagraceae","Clarkia","purpurea","Onagraceae_Clarkia","Subfam. Onagroideae","Tribe Onagreae","dry",1,300,"150.5",0.5,3,NA,NA,"insects","biotic","4; 55; c. 25",4,55,29.5,"1; 35; 3.5","Onagraceae","Clarkia","purpurea","Clarkia"
"Fabian Michelangeli","Melastomataceae","Clidemia","eggersii","Melastomataceae_Clidemia","Melastomatoideae","Miconieae","dry",100,100,"100",0.3,0.5,NA,NA,"insects","biotic","7; 18",NA,NA,NA,"5; 7.5","Melastomataceae","Clidemia","eggersii","Clidemia"
"Peter Wilson","Myrtaceae","Cloezia","buxifolia","Myrtaceae_Cloezia","Tristanieae","","dry",6,9,"",4,4,NA,NA,"insects","biotic","6–8 mm ",NA,NA,NA,"2–3 mm","Myrtaceae","Cloezia","buxifolia","Cloezia"
"Olivier Maurin, Ian Turner","Combretaceae","Thiloa","glaucocarpa","Combretaceae_Combretum","Combretoideae","Combreteae / Combretinae","dry",1,1,"1",5,40,NA,NA,"insects","biotic","0,2-0,5",NA,NA,NA,"2.5-5 mm","Combretaceae","Thiloa","glaucocarpa","Combretum"
"Fabian Michelangeli","Melastomataceae","Comolia","lythrarioides","Melastomataceae_Comolia","Melastomatoideae","Marcetieae","dry",100,100,"100",0.6,0.9,NA,NA,"insects","biotic","9; 12",NA,NA,NA,"3; 5","Melastomataceae","Comolia","lythrarioides","Comolia"
"Olivier Maurin, Ian Turner","Combretaceae","Conocarpus","erectus","Combretaceae_Conocarpus","Combretoideae","Combreteae / Terminaliinae","dry",1,1,"1",2,4,NA,NA,"insects","biotic","absent",NA,NA,NA,"1.5-3 mm","Combretaceae","Conocarpus","erectus","Conocarpus"
"Fabian Michelangeli","Melastomataceae","Conostegia","icosandra","Melastomataceae_Conostegia","Melastomatoideae","Miconieae","fleshy",100,100,"100",0.4,0.8,NA,NA,"insects","biotic","7; 8",NA,NA,NA,"3.5; 5.5","Melastomataceae","Conostegia","icosandra","Conostegia"
"Peter Wilson","Myrtaceae","Conothamnus","aureus","Myrtaceae_Conothamnus","Melaleuceae","","dry",3,3,"",1,1,NA,NA,"insects","biotic","petals absent",NA,NA,NA,"0.5–1 mm","Myrtaceae","Conothamnus","aureus","Conothamnus"
"Andrew Thornhill","Myrtaceae","Corymbia","ficifolia","Myrtaceae_Corymbia","Eucalypteae","Eucalypt (as per Thornhill et al. 2019)","Dry",NA,NA,NA,1,18,NA,NA,"insects/vertebrates","biotic","",NA,NA,NA,"","Myrtaceae","Corymbia","ficifolia","Corymbia"
"Peter Wilson","Myrtaceae","Corynanthera","flava","Myrtaceae_Corynanthera","Chamelaucieae","Micromyrtinae","dry",1,1,"",2,2,NA,NA,"insects","biotic","c. 1.5 mm",NA,NA,NA,"c. 2.5 mm","Myrtaceae","Corynanthera","flava","Corynanthera"
"Shirley Graham","Lythraceae","Crenea","maritima","Lythraceae_Crenea","","","dry",500,500,"500",5,5,0.3,0.5,NA,NA,"4.5-5.5",NA,NA,NA,"4-6 mm","Lythraceae","Crenea","maritima","Crenea"
"Shirley Graham","Lythraceae","Cuphea","hyssopifolia","Lythraceae_Cuphea","","","dry",2,100,"51",0.5,3.3,0.3,3,"abiotic, vertebrates","abiotic, biotic","2-6 mm",NA,NA,NA,"4-38 mm","Lythraceae","Cuphea","hyssopifolia","Cuphea"
"Karinne Valdemarin","Myrtaceae","Curitiba","prismatica","Myrtaceae_Curitiba","Myrteae","Pimentinae","fleshy",4,7,"5,5",2,4,0.5,0.5,"insects","biotic","?",NA,NA,NA,"absent","Myrtaceae","Curitiba","prismatica","Curitiba"
"Peter Wilson","Myrtaceae","Cyathostemon","ambiguus","Myrtaceae_Cyathostemon","Chamelaucieae","Astarteinae","dry",3,3,"",1.3,2,NA,NA,"insects","biotic","8–9 mm ",NA,NA,NA,"1–1.5 mm ","Myrtaceae","Cyathostemon","ambiguus","Cyathostemon"
"Darin Penneys","Melastomataceae","Cyphotheca","montana","Melastomataceae_Cyphotheca","Melastomatoideae","Sonerileae","dry",100,100,"100",0.7,0.7,NA,NA,"insects","biotic","13; 13; 13",NA,NA,NA,"","Melastomataceae","Cyphotheca","montana","Cyphotheca"
"Olivier Maurin, Ian Turner","Combretaceae","Dansiea","elliptica","Combretaceae_Dansiea","Combretoideae","Laguncularieae","dry",1,1,"1",NA,NA,NA,NA,"vertebrates","biotic","1,0; 1,5",NA,NA,NA,"6-7 mm","Combretaceae","Dansiea","elliptica","Dansiea"
"Peter Wilson","Myrtaceae","Darwinia","speciosa","Myrtaceae_Darwinia","Chamelaucieae","Chamelauciinae","dry",1,1,"",2,3.5,NA,NA,"vertebrates","biotic","c. 5–7 mm (flowers 4 within a bell-like involucre)",NA,NA,NA,"4–5 mm","Myrtaceae","Darwinia","speciosa","Darwinia"
NA,NA,NA,NA,"Myrtaceae_Decaspermum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtaceae","Decaspermum","fruticosum","Decaspermum"
"Shirley Graham","Lythraceae","Decodon","verticillatus","Lythraceae_Decodon","","","dry",20,30,"25",1,1.9,1.2,2,"insects","biotic","4.5-6.5 mm",NA,NA,NA,"4-8 mm","Lythraceae","Decodon","verticillatus","Decodon"
