Expert,Family,Genus,Species,match_to_tree,Major.Group,Minor.Group,fm_scoring_fruit,seed.min,seed.max,fm_scoring_seed_number,seed.length.min,seed.length.max,seed.width.min,seed.width.max,fm_scoring_pollination1,fm_scoring_pollination2,Corolla.diameter..min...max...prevalent.,Corolla.diameter.min,Corolla.diameter.max,fm_scoring_corolla_diam,Hypanthium.length..min...max...prevalent.,Family.y,Genus.y,Species.y
Shirley Graham,Lythraceae,Didiplis,diandra,Lythraceae_Didiplis_diandra,,,dry,25,45,35,0.6,0.9,0.2,0.3,abiotic,abiotic,1.5-2.5 mm,NA,NA,NA,1.75-2.5 mm; 2mm,Lythraceae,Didiplis,diandra
Shirley Graham,Lythraceae,Diplusodon,lanceolatus,Lythraceae_Diplusodon_lanceolatus,,,dry,4,72,38,1,4,1.8,3.5,insects,biotic,6.5-7 mm,NA,NA,NA,7.5-8.0 mm,Lythraceae,Diplusodon,lanceolatus
Darin Penneys,Melastomataceae,Dissochaeta,annulata,Melastomataceae_Dissochaeta_annulata,Melastomatoideae,Dissochaeteae,fleshy,100,100,100,0.75,0.75,0.75,0.75,insects,biotic,27; 43; 35,NA,NA,NA,,Melastomataceae,Dissochaeta,annulata
Darin Penneys,Melastomataceae,Dissotis,multiflora,Melastomataceae_Dissotis_multiflora,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.4,0.8,NA,NA,insects,biotic,14; 85; 38,NA,NA,NA,,Melastomataceae,Dissotis,multiflora
Fabian Michelangeli,Melastomataceae,Dolichoura,spiritusanctensis,Melastomataceae_Dolichoura_spiritusanctensis,Melastomatoideae,Cambessedesieae,dry,100,100,100,1.8,2,NA,NA,insects,biotic,5; 8,NA,NA,NA,1.5; 2,Melastomataceae,Dolichoura,spiritusanctensis
Shirley Graham,Lythraceae,Duabanga,grandiflora,Lythraceae_Duabanga_grandiflora,,,dry,100,100,100,4,5.5,0.5,0.5,vertebrates,biotic,2.5 cm,NA,NA,NA,2-2.5 cm,Lythraceae,Duabanga,grandiflora
Darin Penneys,Melastomataceae,Dionycha,bojerii,Melastomataceae_Dyonicha_bojeri,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.7,0.9,NA,NA,insects,biotic,17; 42; 30,NA,NA,NA,,Melastomataceae,Dionycha,bojerii
Fabian Michelangeli,Penaeaceae,Endonema,retzioides,Penaeaceae_Endonema_retzioides,,,dry,NA,NA,NA,NA,NA,NA,NA,vertebrates,biotic,n/a,NA,NA,NA,,Penaeaceae,Endonema,retzioides
Peter Wilson,Myrtaceae,Enekbatus,cryptandroides,Myrtaceae_Enekbatus_cryptandroides_Baeckea,Chamelaucieae,Rinziinae,dry,1,2,,1.1,1.8,NA,NA,insects,biotic,c. 8 mm,NA,NA,NA,1.5–2.5 mm,Myrtaceae,Enekbatus,cryptandroides
Peter Hoch,Onagraceae,Epilobium,canum,Onagraceae_Epilobium_canum_subsp_Mexicanum_Zauschneria,Subfam. Onagroideae,Tribe Epilobieae,dry,60,200,130,1.5,2.6,NA,NA,"insects, vertebrates",biotic,12; 30; c 20 ,12,30,21,16; 32; c. 25 ,Onagraceae,Epilobium,canum
Peter Hoch,Onagraceae,Eremothera,pygmaea,Onagraceae_Eremothera_pygmaea_Camissonia,Subfam. Onagroideae,Tribe Onagreae,dry,80,160,120,0.9,2.1,NA,NA,insects,biotic,4; 20; c. 16,4,20,12,0.5; 8; 1.5,Onagraceae,Eremothera,pygmaea
Peter Wilson,Myrtaceae,Ericomyrtus,serpyllifolia,Myrtaceae_Ericomyrtus_serpyllifolia,Chamelaucieae,Hysterobaeckeinae,dry,8,12,,0.5,1,NA,NA,insects,biotic,4–5(–6) mm,NA,NA,NA,1.5 mm,Myrtaceae,Ericomyrtus,serpyllifolia
Fabian Michelangeli,Melastomataceae,Eriocnema,fulva,Melastomataceae_Eriocnema_fulva,Melastomatoideae,Eriocnemeae,dry,NA,NA,NA,0.9,0.9,0.9,0.9,insects,biotic,10; 13,NA,NA,NA,2; 3,Melastomataceae,Eriocnema,fulva
Gustavo Shimizu & Deise Gonçalves,Vochysiaceae,Erisma,arietinum,Vochysiaceae_Erisma_arietinum,,,Dry,1,1,1,NA,NA,NA,NA,insects,biotic,0.5-2 cm long,5,20,12.5,not measured,Vochysiaceae,Erisma,arietinum
Gustavo Shimizu & Deise Gonçalves,Vochysiaceae,Erismadelphus,exsul,Vochysiaceae_Erismadelphus_exsul,,,Dry,1,1,1,NA,NA,NA,NA,NA,NA,ca. 0.5 cm long,5,5,5,not measured,Vochysiaceae,Erismadelphus,exsul
Fabian Michelangeli,Melastomataceae,Ernestia,maguirei,Melastomataceae_Ernestia_maguirei,Melastomatoideae,Marcetieae,dry,NA,NA,NA,0.7,0.9,NA,NA,insects,biotic,8;9,NA,NA,NA,4.2;4.5,Melastomataceae,Ernestia,maguirei
Andrew Thornhill,Myrtaceae,Eucalyptopsis,papuana,Myrtaceae_Eucalyptopsis_papuana,Eucalypteae,Mesicalypt (as per Thornhill et al. 2019),Dry,NA,NA,NA,NA,NA,NA,NA,insects,biotic,4,NA,NA,NA,,Myrtaceae,Eucalyptopsis,papuana
Andrew Thornhill,Myrtaceae,Eucalyptus,cloeziana,Myrtaceae_Eucalyptus_cloeziana,Eucalypteae,Eucalypt (as per Thornhill et al. 2019); sungenus Idiogenes (as per Nicolle 2018),Dry,NA,NA,NA,0.7,8,NA,NA,abiotic/insects/vertebrates,abiotic/biotic,Calyptra,NA,NA,NA,,Myrtaceae,Eucalyptus,cloeziana
NA,NA,NA,NA,Myrtaceae_Eugenia_uniflora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Eugenia,uniflora
Peter Hoch,Onagraceae,Eulobus,californicus,Onagraceae_Eulobus_californicus_Oenothera,Subfam. Onagroideae,Tribe Onagreae,dry,48,100,74,1,2,NA,NA,insects,biotic,10; 25; 20,10,25,17.5,0.6; 5; 3,Onagraceae,Eulobus,californicus
Peter Wilson,Myrtaceae,Euryomyrtus,maidenii,Myrtaceae_Euryomyrtus_maidenii,Chamelaucieae,Rinziinae,dry,2,3,,1.5,2,NA,NA,insects,biotic,4–7.5 mm,NA,NA,NA,1.1–1.6 mm long,Myrtaceae,Euryomyrtus,maidenii
NA,NA,NA,NA,Myrtaceae_Feijoa_sellowiana_Acca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Acca,sellowiana
Darin Penneys,Melastomataceae,Fordiophyton,strictum,Melastomataceae_Fordiophyton_strictum,Melastomatoideae,Sonerileae,dry,100,100,100,0.4,0.9,NA,NA,insects,biotic,13; 38; 18,NA,NA,NA,,Melastomataceae,Fordiophyton,strictum
Fabian Michelangeli,Melastomataceae,Fritzschia,erecta,Melastomataceae_Fritzschia_erecta,Melastomatoideae,Marcetieae,dry,100,100,100,1,1.1,NA,NA,insects,biotic,12; 14,NA,NA,NA,2.7; 3,Melastomataceae,Fritzschia,erecta
Peter Hoch,Onagraceae,Fuchsia,excorticata,Onagraceae_Fuchsia_excorticata,Subfam. Onagroideae,Tribe Circaeeae,fleshy,10,500,255,1,2.5,NA,NA,"insects, vertebrates",biotic,1; 22; c. 12,1,22,11.5,2; 130; ?,Onagraceae,Fuchsia,excorticata
Shirley Graham,Lythraceae,Galpinia,transvaalica,Lythraceae_Galpinia_transvaalica,,,dry,3,10,6.5,3,4.5,2.5,4,NA,NA,4 mm,NA,NA,NA,3 mm,Lythraceae,Galpinia,transvaalica
Peter Hoch,Onagraceae,Gayophytum,diffusum,Onagraceae_Gayophytum_diffusum_Camissonia,Subfam. Onagroideae,Tribe Onagreae,dry,8,200,104,0.7,2.3,NA,NA,insects,biotic,1; 15; c. 6,1,15,8,0.2; 1; 0.5,Onagraceae,Gayophytum,diffusum
"Olivier Maurin, Ian Turner",Combretaceae,Calycopteris,floribunda,Combretaceae_Getonia_floribunda_Calycopteris,Combretoideae,Combreteae / Combretinae,dry,1,1,1,5,40,NA,NA,insects,biotic,"1,5; 2,0",NA,NA,NA,4.5-6 mm,Combretaceae,Calycopteris,floribunda
Shirley Graham,Lythraceae,Ginoria,nudiflora,Lythraceae_Ginoria_nudiflora,,,dry,50,50,50,0.5,2.5,0.1,0.6,insects,biotic,"6-8.5, avg. 7.0",NA,NA,NA,"3-18 mm; avg, 8.6",Lythraceae,Ginoria,nudiflora
Fabian Michelangeli,Penaeaceae,Glischrocolla,formosa,Penaeaceae_Glischrocolla_formosa,,,dry,NA,NA,NA,NA,NA,NA,NA,vertebrates,biotic,n/a,NA,NA,NA,,Penaeaceae,Glischrocolla,formosa
Peter Hoch,Onagraceae,Gongylocarpus,rubricaulis,Onagraceae_Gongylocarpus_rubricaulis,Subfam. Onagroideae,Tribe Gongylocarpeae,dry,4,28,16,NA,NA,NA,NA,insects,biotic,5; 20; 5-6 and 15-18 (2 spp.),5,20,12.5,12; 30; 18,Onagraceae,Gongylocarpus,rubricaulis
NA,NA,NA,NA,Myrtaceae_Gossia_clusioides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Gossia,
Fabian Michelangeli,Melastomataceae,Graffenrieda,cucullata,Melastomataceae_Graffenrieda_cucullata,Melastomatoideae,Merianieae,dry,100,100,100,2.5,3,NA,NA,insects,biotic,5; 5.5,NA,NA,NA,6; 7,Melastomataceae,Graffenrieda,cucullata
Darin Penneys,Melastomataceae,Gravesia,vestita,Melastomataceae_Gravesia_vestita,Melastomatoideae,Sonerileae,dry,100,100,100,0.3,1.7,NA,NA,insects,biotic,4; 52; 26,NA,NA,NA,,Melastomataceae,Gravesia,vestita
"Olivier Maurin, Ian Turner",Combretaceae,Guiera,senegalensis,Combretaceae_Guiera_senegalensis,Combretoideae,Combreteae / Combretinae,dry,1,1,1,5,40,NA,NA,insects,biotic,"0,1; 0,2",NA,NA,NA,3 mm,Combretaceae,Guiera,senegalensis
Darin Penneys,Melastomataceae,Guyonia,tenella,Melastomataceae_Guyonia_tenella,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.8,1.2,NA,NA,insects,biotic,7; 7; 7,NA,NA,NA,,Melastomataceae,Guyonia,tenella
Shirley Graham,Lythraceae,Heimia,salicifolia,Lythraceae_Heimia_salicifolia,,,dry,50,50,50,0.5,1,0.3,0.8,insects,biotic,5-6 mm,NA,NA,NA,3.5-7.5,Lythraceae,Heimia,salicifolia
Fabian Michelangeli,Melastomataceae,Henriettea,squamata,Melastomataceae_Henriettea_squamata,Melastomatoideae,Henrietteeae,fleshy,100,100,100,0.5,0.7,NA,NA,insects,biotic,8,NA,NA,NA,5,Melastomataceae,Henriettea,squamata
Fabian Michelangeli,Melastomataceae,Henriettella,tovarensis,Melastomataceae_Henriettella_tovarensis,Melastomatoideae,Henrietteeae,fleshy,100,100,100,0.6,0.75,NA,NA,insects,biotic,3.2; 3.4,NA,NA,NA,2.1; 2.5,Melastomataceae,Henriettella,tovarensis
Fabian Michelangeli,Melastomataceae,Heterocentron,elegans,Melastomataceae_Heterocentron_elegans,Melastomatoideae,Melastomateae,dry,100,100,100,0.6,0.7,NA,NA,insects,biotic,14; 16,NA,NA,NA,3.5; 5,Melastomataceae,Heterocentron,elegans
Peter Wilson,Myrtaceae,Heteropyxis,natalensis,Myrtaceae_Heteropyxis_natalensis,Heteropyxideae,,dry,10,20,,1,2,NA,NA,insects,biotic,2.5–5 mm,NA,NA,NA,1–1.5 mm,Myrtaceae,Heteropyxis,natalensis
fabian Michelangeli,Melastomataceae,Heterotis,rotundifolia,Melastomataceae_Heterotis_rotundifolia,Melastomatoideae,Melastomateae,dry,100,100,100,0.6,0.9,NA,NA,insects,biotic,1.7; 2.2,NA,NA,NA,0.6; 0.7,Melastomataceae,Heterotis,rotundifolia
Peter Wilson,Myrtaceae,Homalospermum,firmum,Myrtaceae_Homalospermum_firmum,Leptospermeae,,dry,4,4,,2.5,3.5,NA,NA,insects,biotic,c. 15 mm,NA,NA,NA,c. 1.5 mm,Myrtaceae,Homalospermum,firmum
Peter Wilson,Myrtaceae,Homoranthus,thomasii,Myrtaceae_Homoranthus_thomasii,Chamelaucieae,Chamelauciinae,dry,1,1,,1.5,1.5,NA,NA,vertebrates,biotic,c. 4 mm,NA,NA,NA,c. 2 mm,Myrtaceae,Homoranthus,thomasii
Fabian Michelangeli,Melastomataceae,Huberia,consimilis,Melastomataceae_Huberia_consimilis,Melastomatoideae,Cambessedesieae,dry,100,100,100,2.4,6.3,NA,NA,insects,biotic,12; 25,NA,NA,NA,6; 8,Melastomataceae,Huberia,consimilis
Peter Wilson,Myrtaceae,Hypocalymma,augustifolium,Myrtaceae_Hypocalymma_augustifolium,Chamelaucieae,Astarteinae,dry,1,3,,1.5,1.5,NA,NA,insects,biotic,8–11 mm,NA,NA,NA,1.5–2 mm ,Myrtaceae,Hypocalymma,augustifolium
NA,NA,NA,NA,Myrtaceae_Kanakomyrtus_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Kanakomyrtus,
Peter Wilson,Myrtaceae,Kania,eugenioides,Myrtaceae_Kania_eugenioides,Kanieae,,dry,NA,NA,,2.5,3,NA,NA,NA,NA,c. 3.5–4 mm (petals held ± erect),NA,NA,NA,1–1.5 mm,Myrtaceae,Kania,eugenioides
Peter Wilson,Myrtaceae,Kardomia,jucunda,Myrtaceae_Kardomia_jucunda_Baeckea,Chamelaucieae,Hysterobaeckeinae,dry,3,6,,1,1,NA,NA,insects,biotic,to 7 mm ,NA,NA,NA,1.9–2 mm ,Myrtaceae,Kardomia,jucunda
Fabian Michelangeli,Melastomataceae,Killipia,peduculata,Melastomataceae_Killipia_pedunculata,Melastomatoideae,Miconieae,fleshy,100,100,100,0.6,0.75,NA,NA,vertebrates,biotic,5; 6,NA,NA,NA,2; 3.8,Melastomataceae,Killipia,peduculata
Peter Wilson,Myrtaceae,Kjellbergiodendron,,Myrtaceae_Kjellbergiodendron_,Lophostemoneae,,fleshy,1,1,,18,40,NA,NA,NA,NA,c. 20 mm,NA,NA,NA,5–7 mm,Myrtaceae,Kjellbergiodendron,
Shirley Graham,Lythraceae,Koehneria,madagascariensis,Lythraceae_Koehneria_madagascariensis,,,dry,10,30,20,1.3,1.7,1,1.2,NA,NA,7-7.5 mm,NA,NA,NA,8.5 mm,Lythraceae,Koehneria,madagascariensis
Gustavo Shimizu & Deise Gonçalves,Vochysiaceae,Korupodendron,songweanum,Vochysiaceae_Korupodendron_songweanum,,,Dry,1,1,1,NA,NA,NA,NA,NA,NA,ca. 1 cm long,10,10,10,not measured,Vochysiaceae,Korupodendron,songweanum
Peter Wilson,Myrtaceae,Kunzea,,Myrtaceae_Kunzea_,Leptospermeae,,dry,NA,NA,,0.5,0.65,NA,NA,insects,biotic,3–4.5 mm,NA,NA,NA,2.4–3.2 mm,Myrtaceae,Kunzea,
Shirley Graham,Lythraceae,Lagerstroemia,indica,Lythraceae_Lagerstroemia_indica,,,dry,8,72,40,3,6,4,16,insects,biotic,10 mm,NA,NA,NA,10-12 mm,Lythraceae,Lagerstroemia,indica
"Olivier Maurin, Ian Turner",Combretaceae,Laguncularia,racemosa,Combretaceae_Laguncularia_racemosa,Combretoideae,Laguncularieae,dry,1,1,1,10,15,NA,NA,insects,biotic,"0,3; 0,5",NA,NA,NA,3.5-6.5 mm,Combretaceae,Laguncularia,racemosa
Peter Wilson,Myrtaceae,Lamarchea,hakeifolia,Myrtaceae_Lamarchea_hakeifolia,Melaleuceae,,dry,6,9,,2,3,NA,NA,vertebrates,biotic,c. 7 mm,NA,NA,NA,c. 5 mm,Myrtaceae,Lamarchea,hakeifolia
Fabian Michelangeli,Melastomataceae,Lavoisiera,imbricata,Melastomataceae_Lavoisiera_imbricata,Melastomatoideae,Microlicieae,dry,100,100,100,1.4,1.7,NA,NA,insects,biotic,8; 27,NA,NA,NA,3; 5,Melastomataceae,Lavoisiera,imbricata
Shirley Graham,Lythraceae,Lawsonia,inermis,Lythraceae_Lawsonia_inermis,,,dry,30,50,40,1.2,2.2,1.3,2,insects,biotic,3.0 mm,NA,NA,NA,1.5 mm,Lythraceae,Lawsonia,inermis
Fabian Michelangeli,Melastomataceae,Leandra,subseriata,Melastomataceae_Leandra_australis,Melastomatoideae,Miconieae,fleshy,100,100,100,0.4,0.5,NA,NA,insects,biotic,1.5; 2,NA,NA,NA,1.3; 2,Melastomataceae,Leandra,subseriata
Fabian Michelangeli,Melastomataceae,Leiostegia,vernicosa,Melastomataceae_Leiostegia_vernicosa,Melastomatoideae,Marcetieae,dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,3.8; 4.2,NA,NA,NA,4.5-5.5,Melastomataceae,Leiostegia,vernicosa
NA,NA,NA,NA,Myrtaceae_Lenwebbia_lasiocladum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Lenwebbia,prominens
Peter Wilson,Myrtaceae,Leptospermum,erubescens,Myrtaceae_Leptospermum_erubescens,Leptospermeae,,dry,NA,NA,,1,1.5,NA,NA,insects,biotic,8–10 mm ,NA,NA,NA,c. 2–4 mm ,Myrtaceae,Leptospermum,erubescens
Fabian Michelangeli,Melastomataceae,Lijndenia,procteri,Melastomataceae_Lijndenia_procteri,Olisbeoideae,Olisbeoideae-OW,NA,NA,NA,NA,NA,NA,NA,NA,insects,biotic,,NA,NA,NA,,Melastomataceae,Lijndenia,procteri
Peter Wilson,Myrtaceae,Lindsayomyrtus,racemoides,Myrtaceae_Lindsayomyrtus_racemoides,Lindsayomyrteae,,NA,1,3,,10,23,NA,NA,NA,NA,22–28 mm,NA,NA,NA,1–1.5 mm,Myrtaceae,Lindsayomyrtus,racemoides
Darin Penneys,Melastomataceae,Lithobium,cordatum,Melastomataceae_Lithobium_cordatum,Melastomatoideae,Lithobieae,dry,50,50,50,0.2,0.3,NA,NA,insects,biotic,7; 9; 8,NA,NA,NA,,Melastomataceae,Lithobium,cordatum
NA,NA,NA,NA,Myrtaceae_Lithomyrtus_grandifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Lithomyrtus,grandifolia
Peter Hoch,Onagraceae,Lopezia,hirsuta,Onagraceae_Lopezia_hirsuta,Subfam. Onagroideae,Tribe Lopeziaeae,dry,4,120,62,0.6,2,NA,NA,insects,biotic,4; 20; c. 10,4,20,12,0; 20; most 0 or partial fusion,Onagraceae,Lopezia,hirsuta
NA,NA,NA,NA,Myrtaceae_Lophomyrtus_obcordata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Lophomyrtus,bullata
Peter Wilson,Myrtaceae,Lophostemon,suaveolens,Myrtaceae_Lophostemon_confertus,Lophostemoneae,,dry,NA,NA,,1.5,2,NA,NA,insects,biotic,7–9 mm,NA,NA,NA,2.5 mm,Myrtaceae,Lophostemon,suaveolens
Fabian Michelangeli,Melastomataceae,Loreya,subandina,Melastomataceae_Loreya_subandina_Bellucia,Melastomatoideae,Henrietteeae,fleshy,100,100,100,0.85,1,NA,NA,insects,biotic,13; 15,NA,NA,NA,5; 6,Melastomataceae,Loreya,subandina
Fabian Michelangeli,Melastomataceae,Loricalepis,duckei,Melastomataceae_Loricalepis_duckei,Melastomatoideae,Melastomateae,dry,NA,NA,NA,NA,NA,NA,NA,insects,biotic,1.5; 1.7,NA,NA,NA,5; 6,Melastomataceae,Loricalepis,duckei
Shirley Graham,Lythraceae,Lourtella,resinosa,Lythraceae_Lourtella_resinosa,,,dry,30,50,40,0.8,1,0.5,0.7,NA,NA,3.5 mm,NA,NA,NA,3-3.5 mm,Lythraceae,Lourtella,resinosa
Peter Hoch,Onagraceae,Ludwigia,octovalvis,Onagraceae_Ludwigia_octovalvis,Subfam. Ludwigioideae,,dry,50,400,225,0.5,1.5,NA,NA,insects,biotic,2; 55; c. 20,2,55,28.5,0 (no hypan.),Onagraceae,Ludwigia,octovalvis
NA,NA,NA,NA,Myrtaceae_Luma_apiculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Luma,apiculata
"Olivier Maurin, Ian Turner",Combretaceae,Lumnitzera,racemosa,Combretaceae_Lumnitzera_racemosa,Combretoideae,Laguncularieae,fleshy,1,1,1,10,15,NA,NA,insects,biotic,"0,8; 1,0",NA,NA,NA,6-7 mm,Combretaceae,Lumnitzera,racemosa
Peter Wilson,Myrtaceae,Lysicarpus,angustifolius,Myrtaceae_Lysicarpus_angustifolius,Kanieae,,dry,3,9,,5.5,6,NA,NA,insects,biotic,c. 10 mm,NA,NA,NA,2.5–3 mm,Myrtaceae,Lysicarpus,angustifolius
Shirley Graham,Lythraceae,Lythrum,alatum,Lythraceae_Lythrum_salicaria,,,dry,8,60,34,0.4,0.8,0.3,0.7,insects,biotic,0.5-2 mm,NA,NA,NA,3-8 mm,Lythraceae,Lythrum,alatum
Fabian Michelangeli,Melastomataceae,Macairea,pachyphylla,Melastomataceae_Macairea_pachyphylla,Melastomatoideae,Marcetieae,dry,100,100,100,0.6,0.7,NA,NA,insects,biotic,7; 8.5,NA,NA,NA,1.5; 2,Melastomataceae,Macairea,pachyphylla
Fabian Michelangeli,Melastomataceae,Macrocentrum,repens,Melastomataceae_Macrocentrum_droseroides,Melastomatoideae,Merianieae,dry,100,100,100,0.45,0.55,NA,NA,insects,biotic,4.5,NA,NA,NA,2,Melastomataceae,Macrocentrum,repens
"Olivier Maurin, Ian Turner",Combretaceae,Macropteranthes,montana,Combretaceae_Macropteranthes_montana,Combretoideae,Laguncularieae,dry,1,1,1,6,10,NA,NA,insects,biotic,"0,5; 0,8",NA,NA,NA,5-7 mm,Combretaceae,Macropteranthes,montana
Fabian Michelangeli,Melastomataceae,Maieta,poeppiggii,Melastomataceae_Maieta_poeppigii_Clidemia,Melastomatoideae,Miconieae,fleshy,100,100,100,0.5,0.6,NA,NA,insects,biotic,5; 8.5,NA,NA,NA,5; 6,Melastomataceae,Maieta,poeppiggii
Peter Wilson,Myrtaceae,Malleostemon,,Myrtaceae_Malleostemon_,Chamelaucieae,Hysterobaeckeinae,dry,1,1,,1.5,1.5,NA,NA,insects,biotic,4–5 mm,NA,NA,NA,2–2.5 mm,Myrtaceae,Malleostemon,
Fabian Michelangeli,Melastomataceae,Marcetia,taxifolia,Melastomataceae_Marcetia_taxifolia,Melastomatoideae,Marcetieae,dry,100,100,100,0.7,0.8,NA,NA,insects,biotic,5; 7,NA,NA,NA,2.5; 3,Melastomataceae,Marcetia,taxifolia
Fabian Michelangeli,Melastomataceae,Mecranium,haemanthum,Melastomataceae_Mecranium_haemanthum_Mecranium,Melastomatoideae,Miconieae,fleshy,100,100,100,0.35,0.4,NA,NA,NA,NA,2.9; 3.3,NA,NA,NA,3.3,Melastomataceae,Mecranium,haemanthum
Darin Penneys,Melastomataceae,Medinilla,crassifolia,Melastomataceae_Medinilla_crassifolia,Melastomatoideae,Sonerileae,fleshy,100,100,100,0.4,2,NA,NA,insects,biotic,7; 53; 25,NA,NA,NA,,Melastomataceae,Medinilla,crassifolia
Peter Wilson,Myrtaceae,Callistemon,comboynensis,Myrtaceae_Melaleuca_comboynensis_Callistemon,Melaleuceae,,dry,NA,NA,,1,1.5,NA,NA,vertebrates,biotic,8.5–10.5 mm,NA,NA,NA,4–5 mm,Myrtaceae,Callistemon,comboynensis
Darin Penneys,Melastomataceae,Melastoma,malabathricum,Melastomataceae_Melastoma_malabathricum,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.9,0.9,0.9,0.9,insects,biotic,13; 92; 50,NA,NA,NA,,Melastomataceae,Melastoma,malabathricum
Darin Penneys,Melastomataceae,Melastomastrum,theifolium,Melastomataceae_Melastomastrum_theifolium,Melastomatoideae,Melastomeae-OW,dry,100,100,100,0.5,0.6,NA,NA,insects,biotic,22; 55,NA,NA,NA,,Melastomataceae,Melastomastrum,theifolium
Fabian Michelangeli,Melastomataceae,Memecylon,rheophyticum,Melastomataceae_Memecylon_rheophyticum,Olisbeoideae,Olisbeoideae-OW,fleshy,1,1,,NA,NA,NA,NA,insects,biotic,2; 2.5,NA,NA,NA,2.5; 3,Melastomataceae,Memecylon,rheophyticum
Fabian Michelangeli,Melastomataceae,Meriania,albiflora,Melastomataceae_Meriania_albiflora,Melastomatoideae,Merianieae,dry,100,100,100,1.2,1.4,NA,NA,NA,NA,23.7; 24.7,NA,NA,NA,4; 4.5,Melastomataceae,Meriania,albiflora
Fabian Michelangeli,Melastomataceae,Merianthera,bullata,Melastomataceae_Merianthera_bullata,Melastomatoideae,Cambessedesieae,dry,100,100,100,1,1.5,NA,NA,insects,biotic,14; 25,NA,NA,NA,7; 10,Melastomataceae,Merianthera,bullata
Peter Wilson,Myrtaceae,Metrosideros,tomentosa,Myrtaceae_Metrosideros_angustifolia,Metrosidereae,,dry,NA,NA,,2,3,NA,NA,"insects, vertebrates",biotic,9–12 mm,NA,NA,NA,5–6 mm (excluding sepals 2 mm),Myrtaceae,Metrosideros,tomentosa
Fabian Michelangeli,Melastomataceae,Miconia,albicans,Melastomataceae_Miconia_albicans,Melastomatoideae,Miconieae,fleshy,100,100,100,0.8,0.9,NA,NA,insects,biotic,2.5; 3,NA,NA,NA,2,Melastomataceae,Miconia,albicans
Fabian Michelangeli,Melastomataceae,Microlepis,oleaefolia,Melastomataceae_Microlepis_oleaefolia,Melastomatoideae,Microlicieae,dry,100,100,100,0.4,0.6,NA,NA,insects,biotic,6; 14,NA,NA,NA,3; 6.5,Melastomataceae,Microlepis,oleaefolia
Fabian Michelangeli,Melastomataceae,Microlicia,cordata,Melastomataceae_Microlicia_cordata,Melastomatoideae,Microlicieae,dry,100,100,100,0.4,0.8,NA,NA,insects,biotic,3.5; 4.5,NA,NA,NA,2.5,Melastomataceae,Microlicia,cordata
Peter Wilson,Myrtaceae,Micromyrtus,obovata,Myrtaceae_Micromyrtus_obovata,Chamelaucieae,Micromyrtinae,dry,1,1,,1.2,1.2,NA,NA,NA,NA,4–5 mm,NA,NA,NA,1.2–1.5 mm,Myrtaceae,Micromyrtus,obovata
Peter Wilson,Myrtaceae,Mitrantia,bilocularis,Myrtaceae_Mitrantia_bilocularis,Kanieae,,dry,1,2,,6,8,NA,NA,NA,NA, to 2.5 mm,NA,NA,NA,1.5–2.5 mm (excluding sepals 1.5 mm) [short hypanthium = male flower],Myrtaceae,Mitrantia,bilocularis
Fabian Michelangeli,Melastomataceae,Monochaetum,lineatum,Melastomataceae_Monochaetum_lineatum,Melastomatoideae,Melastomateae,dry,100,100,100,0.4,0.45,NA,NA,insects,biotic,8.5; 11,NA,NA,NA,4.5; 6,Melastomataceae,Monochaetum,lineatum
Fabian Michelangeli,Melastomataceae,Monolena,primuliflora,Melastomataceae_Monolena_primulaeflora,Melastomatoideae,Trioleneae,dry,100,100,100,0.9,0.9,0.9,0.9,insects,biotic,15; 24,NA,NA,NA,2.5; 4,Melastomataceae,Monolena,primuliflora
Fabian Michelangeli,Melastomataceae,Mouriri,gleasoniana,Melastomataceae_Mouriri_gleasoniana,Olisbeoideae,Olisbeoideae-NW,fleshy,1,5,3,8,9,NA,NA,insects,biotic,3.5; 5.7,NA,NA,NA,3.5; 5,Melastomataceae,Mouriri,gleasoniana
NA,NA,NA,NA,Myrtaceae_Myrceugenia_alpigena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrtaceae,Myrceugenia,alpigena
