"","(Intercept)","CHELSA_bio10_02","CHELSA_bio10_11","CHELSA_bio10_17","depthtobedrock2","Dry.or.Fleshy.Fruit","GLOBAL_SLOPE_10MIN","main_habitat","Mean.Corolla.Diameter","Mean.Seed.Length","Mean.Seed.Number.per.Fruit","meancarbon","meanpH","meanwatercap","Most.Common.Life.Form","df","logLik","AICc","delta","weight","rsqs"
"1247",84.1721638191885,NA,-15.5063473994062,0.534724162161235,-0.107449741728537,"+",NA,"+",0.158219617451287,NA,NA,-0.738991904148963,NA,NA,NA,9,-382.32671587903,783.486765091393,22.5536075737177,1.54967632315145e-07,0.087
"8596",31.1505005712137,0.886945001477819,-6.99794143147972,NA,NA,"+",NA,NA,0.085320222417385,0.0638352025560131,NA,NA,NA,NA,"+",8,-383.412248684,783.488091838046,22.5549343203702,1.5486486501175e-07,0.078
"4736",26.8322228378548,1.53998769348952,-6.2989364720646,0.560030741000846,-0.162950991165127,"+",-0.187479741112365,"+",NA,NA,0.0948120982025664,NA,NA,-1.334677218073,NA,11,-380.127405830417,783.488456520648,22.555299002972,1.54836629325145e-07,0.105
"5886",-13.4562716025667,1.7234640875903,NA,0.630386492762319,-0.128617663610912,"+",-0.121857360375089,"+",0.158330385375982,NA,0.0712800186102478,-0.400747634871733,NA,0.262175304122437,NA,12,-379.011841249147,783.488471230689,22.5553137130136,1.54835490502706e-07,0.114
"13826",-9.9026497803253,1.12971237956421,NA,NA,NA,NA,NA,NA,NA,NA,0.0934026960835927,0.0951523483482272,NA,0.0241526904049812,"+",7,-384.488626769622,783.491015007135,22.5578574894591,1.54638682251446e-07,0.07
"12719",95.3360456082693,NA,-16.6650596801915,0.368320089400943,0.362641194173791,NA,-0.0919929977973975,NA,0.0674871408408806,0.0205886579009229,NA,NA,NA,-3.25549224096938,"+",10,-381.234995565513,783.493246944979,22.5600894273032,1.54466206544575e-07,0.096
"2032",25.5250043526075,1.47984229154703,-6.74220300751243,0.631676542058838,0.118705650184101,NA,-0.0764432253604983,"+",0.124399299673608,0.104410218066451,0.0726086571908169,-0.460725293270677,NA,NA,NA,12,-379.014503727065,783.493796186525,22.560638668849,1.54423792739665e-07,0.114
"9314",-10.4777846366992,1.20065545804652,NA,NA,NA,NA,-0.200920943342784,"+",NA,NA,NA,0.235992945056259,NA,NA,"+",7,-384.490024644134,783.493810756157,22.5606532384818,1.54422667794788e-07,0.07
"12450",-11.9074229811446,1.06823561535808,NA,NA,NA,NA,-0.138941412833592,NA,0.100451183805306,NA,NA,NA,NA,0.940995456813187,"+",7,-384.493158298194,783.500078064279,22.5669205466032,1.53939517982341e-07,0.07
"11410",-17.168658484052,0.868239003520751,NA,NA,NA,"+",NA,NA,0.112362781689318,NA,NA,0.189323058430135,1.98946958395375,NA,"+",8,-383.418653673026,783.500901816099,22.5677442984235,1.53876127058762e-07,0.078
"8394",-14.9451824633531,1.10149380956936,NA,NA,1.08498773897569,NA,NA,"+",0.099828519160322,NA,NA,NA,NA,NA,"+",7,-384.494037867962,783.501837203814,22.5686796861384,1.53804176965949e-07,0.07
"7807",-9.24534463298448,NA,-4.74897586792663,0.598777777871731,1.27715245660418,"+",-0.121575137149806,"+",NA,NA,0.0953986900506555,-0.354544935125446,5.80309908514652,0.0591758169168699,NA,12,-379.019989910263,783.504768552921,22.5716110352457,1.53578915218051e-07,0.114
"12316",31.2110827228874,0.833573790227269,-7.99672879236044,NA,1.18557216197753,"+",NA,NA,NA,NA,NA,NA,NA,-0.0393705098586907,"+",8,-383.421138163767,783.50587079758,22.5727132799046,1.53494297767966e-07,0.078
"11042",-14.7838791486017,0.776756570458328,NA,NA,NA,NA,-0.131960815036356,NA,NA,0.145358449831741,0.125781528669277,NA,1.5933337769865,NA,"+",8,-383.422487754339,783.508569978723,22.5754124610479,1.53287283034886e-07,0.078
"14874",-30.3325540390387,0.81225239336186,NA,NA,1.76378650089005,"+",NA,NA,NA,NA,0.117252388012616,NA,2.40830113472625,1.10427931413184,"+",9,-382.340064598289,783.513462529911,22.580305012235,1.52912758377628e-07,0.087
"11033",-28.64831369845,NA,NA,NA,1.55225103819769,"+",NA,NA,NA,0.145973866521485,0.125397384782154,NA,3.82286250426603,NA,"+",8,-383.425822419431,783.515239308908,22.5820817912323,1.52776972613131e-07,0.078
