tip,to_drop
Melastomataceae_Rupestrea_johnwurdackiana,keep
Melastomataceae_Salpinga_maranoensis,keep
Melastomataceae_Sandemania_hoehnei,keep
Melastomataceae_Sarcopyramis_napalensis,keep
Melastomataceae_Schwackaea_cupheoides,keep
Melastomataceae_Siphanthera_hostmannii,keep
Melastomataceae_Sonerila_cantonensis,keep
Melastomataceae_Spathandra_blakeoides,keep
Melastomataceae_Stenodon_suberosus,keep
Melastomataceae_Styrophyton_caudatum,keep
Melastomataceae_Svitramia_wurdackiana,keep
Melastomataceae_Tessmannianthus_calcaratus,x
Melastomataceae_Tessmannianthus_quadridomius,keep
Melastomataceae_Tetrazygia_urceolata,keep
Melastomataceae_Tibouchina_aspera,keep
Melastomataceae_Tibouchina_calycina,x
Melastomataceae_Tibouchina_echinata,x
Melastomataceae_Tibouchina_heteromalla,x
Melastomataceae_Tibouchina_lepidota,x
Melastomataceae_Tibouchina_longifolia,x
Melastomataceae_Tibouchina_ochypetalum,x
Melastomataceae_Tibouchinopsis_mirabilis,keep
Melastomataceae_Tigridiopalma_magnifica,keep
Melastomataceae_Tococa_guianensis,keep
Melastomataceae_Trembleya_parviflora,keep
Melastomataceae_Triolena_amazonica,keep
Melastomataceae_Tristemma_hirsutum,x
Melastomataceae_Tristemma_mauritianum,keep
Melastomataceae_Tryssophyton_merumense,keep
Melastomataceae_Votomita_guianensis,keep
Melastomataceae_Warneckea_,keep
Melastomataceae_Wurdastom_hexamera,keep
Myrtaceae_Accara_elegans,keep
Myrtaceae_Actinodium_cunninghamii,keep
Myrtaceae_Agonis_,keep
Myrtaceae_Algrizea_macrochlamys,keep
Myrtaceae_Allosyncarpia_ternata,keep
Myrtaceae_Aluta_aspera,keep
Myrtaceae_Amomyrtella_guili,keep
Myrtaceae_Amomyrtus_meli,keep
Myrtaceae_Angophora_euryphylla,keep
Myrtaceae_Archirhodomyrtus_paitensis,keep
Myrtaceae_Arillastrum_gummiferum,keep
Myrtaceae_Astartea_fascicularis,keep
Myrtaceae_Astereomyrtus_symphiocarpa,keep
Myrtaceae_Astus_subroseus,x
Myrtaceae_Astus_tetragonus,keep
Myrtaceae_Austromyrtus_dulcis,keep
Myrtaceae_Babingtonia_camphorosmae,keep
Myrtaceae_Backhousia_hughesii,keep
Myrtaceae_Balaustion_pulcherrimum,keep
Myrtaceae_Barongia_lophandra,keep
Myrtaceae_Basisperma_lanceolata,keep
Myrtaceae_Beaufortia_squarrosa,keep
Myrtaceae_Blepharocalyx_salicifolia,keep
Myrtaceae_Calycolpus_goetheanus,keep
Myrtaceae_Calycorectes_grandifolius,x
Myrtaceae_Calyptrogenia_,x
Myrtaceae_Calyptrogenia_grandiflora,x
Myrtaceae_Calytrix_leschenaultii,keep
Myrtaceae_Chamelaucium_uncinatum,keep
Myrtaceae_Chamguava_schipii,keep
Myrtaceae_Cheyniana_microphylla,keep
Myrtaceae_Cloezia_buxifolia,keep
Myrtaceae_Conothamnus_aureus,keep
Myrtaceae_Corymbia_ficifolia,keep
Myrtaceae_Corymbia_papuana_Eucalyptus,x
Myrtaceae_Corynanthera_flava,keep
Myrtaceae_Curitiba_prismatica,keep
Myrtaceae_Cyathostemon_ambiguus_Astartea,keep
Myrtaceae_Darwinia_speciosa,keep
Myrtaceae_Decaspermum_fruticosum,keep
Myrtaceae_Enekbatus_cryptandroides_Baeckea,keep
Myrtaceae_Ericomyrtus_serpyllifolia,keep
Myrtaceae_Ericomyrtus_serpyllifolia_Baeckea_crispiflora,x
Myrtaceae_Eucalyptopsis_papuana,keep
Myrtaceae_Eucalyptus_cloeziana,keep
Myrtaceae_Eucalyptus_curtisii,x
Myrtaceae_Eucalyptus_guilfoylei,x
Myrtaceae_Eucalyptus_lirata,x
Myrtaceae_Eucalyptus_microcorys,x
Myrtaceae_Eucalyptus_perriniana,x
Myrtaceae_Eucalyptus_tenuipes,x
