"genus","age","n_species","div_rate_eps0","div_rate_eps0.5","div_rate_eps0.9"
"Lindsayomyrtus",68.492,1,0,0,0
"Lithobium",51.653,1,0,0,0
"Lithomyrtus",47.431,11,0.051,0.038,0.015
"Lopezia",46.218,35,0.077,0.063,0.032
"Lophomyrtus",36.035,3,0.03,0.019,0.005
"Lophostemon",42.483,6,0.042,0.029,0.01
"Loricalepis",23.525,2,0.029,0.017,0.004
"Lourtella",48.879,1,0,0,0
"Ludwigia",82.6,103,0.056,0.048,0.029
"Luma",45.828,2,0.015,0.009,0.002
"Lumnitzera",73.807,5,0.022,0.015,0.005
"Lysicarpus",67.149,1,0,0,0
"Lythrum",51.031,43,0.074,0.061,0.032
"Macairea",22.877,23,0.137,0.109,0.051
"Macrocentrum",27.359,28,0.122,0.098,0.048
"Macropteranthes",17.747,5,0.091,0.062,0.019
"Malleostemon",19.69,14,0.134,0.102,0.042
"Marcetia",13.862,30,0.245,0.198,0.098
"Medinilla",21.239,381,0.28,0.247,0.172
"Melaleuca",31.813,465,0.193,0.171,0.121
"Melastoma",12.861,110,0.365,0.312,0.193
"Melastomastrum",17.733,9,0.124,0.091,0.033
"Memecylon",3.94099999999999,400,1.52,1.345,0.942
"Meriania",21.625,111,0.218,0.186,0.115
"Merianthera",34.596,7,0.056,0.04,0.014
"Metrosideros",60.299,78,0.072,0.061,0.036
"Miconia",16.68,1927,0.453,0.412,0.316
"Microlicia",5.72299999999998,190,0.917,0.797,0.523
"Micromyrtus",28.11,52,0.141,0.117,0.064
"Mitrantia",49.049,1,0,0,0
"Monochaetum",5.63799999999999,56,0.714,0.594,0.332
"Monolena",30.215,16,0.092,0.071,0.03
"Mouriri",21.928,105,0.212,0.181,0.111
"Myrceugenia",52.291,60,0.078,0.065,0.037
"Myrcia",40.224,769,0.165,0.148,0.108
"Myrcianthes",39.218,39,0.093,0.076,0.04
"Myrciaria",33.889,32,0.102,0.083,0.042
"Myrrhinium",39.164,3,0.028,0.018,0.005
"Myrtastrum",60.613,1,0,0,0
"Myrtella",47.431,2,0.015,0.009,0.002
"Myrteola",35.952,5,0.045,0.031,0.009
"Myrtus",28.339,6,0.063,0.044,0.014
"Neofabricia",34.705,3,0.032,0.02,0.005
"Neoholmgrenia",12.766,2,0.054,0.032,0.007
"Neomitranthes",17.444,13,0.147,0.112,0.045
"Nepsera",13.186,1,0,0,0
"Noterophila",13.399,8,0.155,0.112,0.04
"Ochrosperma",41.67,6,0.043,0.03,0.01
"Ochthephilus",23.735,1,0,0,0
"Octamyrtus",41.785,6,0.043,0.03,0.01
"Oenothera",8.04399999999998,221,0.671,0.585,0.39
"Olinia",33.068,14,0.08,0.061,0.025
"Opisthocentra",46.693,1,0,0,0
"Osbeckia",12.02,53,0.33,0.274,0.152
"Ossaea",4.08399999999999,8,0.509,0.368,0.13
"Oxymyrrhine",17.416,4,0.08,0.053,0.015
"Oxyspora",26.393,38,0.138,0.113,0.059
"Pachyloma",22.165,4,0.063,0.041,0.012
"Pehria",11.847,1,0,0,0
"Pemphis",47.643,1,0,0,0
"Penaea",10.186,27,0.324,0.259,0.126
"Pericalymma",20.976,6,0.085,0.06,0.019
"Phainantha",37.318,5,0.043,0.029,0.009
"Phyllagathis",24.701,78,0.176,0.149,0.088
"Physeterostemon",15.992,5,0.101,0.069,0.021
"Physocalymma",51.596,1,0,0,0
"Pileanthus",21.027,10,0.11,0.081,0.031
"Pilidiostigma",48.372,6,0.037,0.026,0.008
"Pilocosta",12,5,0.134,0.092,0.028
"Pimenta",40.79,28,0.082,0.066,0.032
"Pleroma",10.737,162,0.474,0.41,0.264
"Plethiandra",21.239,8,0.098,0.071,0.025
"Pleurocalyptus",21.925,2,0.032,0.018,0.004
"Pleurophora",28.011,8,0.074,0.054,0.019
"Plinia",32.829,80,0.133,0.113,0.067
"Pseudoernestia",20.187,2,0.034,0.02,0.005
"Psidium",39.164,103,0.118,0.101,0.062
"Psiloxylon",22.878,1,0,0,0
"Pternandra",66.219,21,0.046,0.036,0.017
"Pterogastra",18.89,4,0.073,0.049,0.014
"Pterolepis",18.89,16,0.147,0.113,0.049
"Punica",40.485,2,0.017,0.01,0.002
"Purpureostemon",39.957,1,0,0,0
"Qualea",21.366,66,0.196,0.164,0.094
"Quipuanthus",29.012,1,0,0,0
"Rhexia",22.165,15,0.122,0.094,0.039
"Rhodamnia",58.486,43,0.064,0.053,0.028
"Rhodomyrtus",41.785,28,0.08,0.064,0.031
"Rhynchanthera",18.037,19,0.163,0.128,0.057
"Rhynchocalyx",31.381,1,0,0,0
"Rinzia",37.544,21,0.081,0.064,0.029
"Ristantia",49.049,3,0.022,0.014,0.004
"Rotala",26.476,76,0.164,0.138,0.081
"Rousseauxia",9.34799999999998,17,0.303,0.235,0.102
"Salpinga",34.536,14,0.076,0.058,0.024
"Salvertia",14.145,1,0,0,0
"Sandemania",11.749,1,0,0,0
"Sannantha",27.076,16,0.102,0.079,0.034
"Sarcopyramis",26.062,4,0.053,0.035,0.01
"Scholtzia",18.216,43,0.206,0.17,0.091
"Schwackaea",12,1,0,0,0
"Seorsus",27.619,4,0.05,0.033,0.009
"Siphanthera",19.329,19,0.152,0.119,0.053
"Siphoneugena",17.444,14,0.151,0.116,0.048
"Sonerila",26.062,190,0.201,0.175,0.115
"Sonneratia",31.902,9,0.069,0.05,0.018
"Spathandra",27.033,3,0.041,0.026,0.007
"Sphaerantia",45.956,2,0.015,0.009,0.002
"Stenodon",5.58399999999999,2,0.124,0.073,0.017
"Stenostegia",37.726,1,0,0,0
"Stockwellia",29.21,1,0,0,0
"Strephonema",100.245,4,0.014,0.009,0.003
"Styrophyton",12.732,1,0,0,0
"Syncarpia",72.544,5,0.022,0.015,0.005
"Syzygium",70.845,1233,0.1,0.091,0.068
"Taraxia",19.629,4,0.071,0.047,0.013
"Taxandria",20.976,13,0.122,0.093,0.038
"Terminalia",59.794,319,0.096,0.085,0.058
"Tessmannianthus",37.138,7,0.052,0.037,0.013
"Tetrapora",17.416,5,0.092,0.063,0.019
"Tetrapteron",11.2,2,0.062,0.036,0.009
"Tetrataxis",19.473,1,0,0,0
"Thaleropia",60.429,3,0.018,0.011,0.003
"Thryptomene",5.63699999999999,49,0.69,0.571,0.312
"Tibouchina",21.459,46,0.178,0.147,0.079
"Tigridiopalma",27.347,1,0,0,0
"Trapa",31.902,16,0.087,0.067,0.029
"Trembleya",5.20599999999999,17,0.544,0.422,0.184
"Triolena",30.215,29,0.111,0.09,0.044
"Triplarina",25.163,9,0.087,0.064,0.023
"Tristaniopsis",61.792,53,0.064,0.053,0.03
"Tristemma",9.39899999999999,25,0.342,0.273,0.13
"Tryssophyton",23.702,2,0.029,0.017,0.004
"Ugni",35.952,4,0.039,0.025,0.007
"Uromyrtus",56.845,22,0.054,0.043,0.02
"Verticordia",17.733,170,0.29,0.251,0.163
"Vochysia",14.145,160,0.359,0.31,0.2
"Votomita",21.928,10,0.105,0.078,0.029
"Warneckea",3.94099999999999,49,0.988,0.817,0.446
"Welchiodendron",42.483,1,0,0,0
"Whiteodendron",46.478,1,0,0,0
"Woodfordia",15.97,2,0.043,0.025,0.006
"Wurdastom",18.079,8,0.115,0.083,0.029
"Xanthomyrtus",64.738,28,0.051,0.041,0.02
"Xanthostemon",21.925,49,0.178,0.147,0.08
