"","genus","Family","most_common_life_form","fm_scoring_fruit","seed.min","seed.max","fm_scoring_seed_number","seed.length.min","seed.length.max","seed.width.min","seed.width.max","fm_scoring_pollination1","fm_scoring_pollination2","fm_scoring_corolla_diam","n_points","Vol","CHELSA_bio10_01","CHELSA_bio10_02","CHELSA_bio10_10","CHELSA_bio10_11","CHELSA_bio10_12","CHELSA_bio10_15","CHELSA_bio10_16","CHELSA_bio10_17","GLOBAL_SLOPE_10MIN","depthtobedrock2","meancarbon","meanpH","meanwatercap","closed_canopy","open_canopy","main_habitat","cutoff_40","cutoff_60","age","n_species","div_rate_eps0","div_rate_eps0.5","div_rate_eps0.9","seed.length.mean","niche_through_time"
"Lythraceae_Rotala","Rotala","Lythraceae","herbaceous","Dry",30,300,5.10594547390058,0.3,0.7,0.2,0.4,"insects","biotic",3.05870707271538,1536,4.44670979972002,5.68210909428843,4.39037944976822,5.70504768354117,5.65570895029553,7.07254008667363,4.22020879490622,6.40387124182445,4.57266628710208,-0.960615597409731,5.2066632319732,3.532375495957,4.10682788737082,2.72398379170712,0.54,0.46,"closed","open","closed",26.476,76,0.164,0.138,0.081,-0.693147180559945,1.17047113746334
"Melastomataceae_Rousseauxia","Rousseauxia","Melastomataceae","woody","Dry",100,100,4.60517018598809,0.4,1,NA,NA,"insects","biotic",3.58351893845611,17,0.128276778723222,5.68606530266384,3.96547623573919,5.69504048958657,5.67425699526035,7.51781180430633,3.92060400928475,6.68351525848629,5.31754176917233,0.114345380288658,5.15899576168465,3.62258010633676,4.01243268693696,2.88213746218373,0.84,0.16,"closed","closed","closed",9.34799999999998,17,0.303,0.235,0.102,-0.356674943938732,-2.10688563795339
"Melastomataceae_Salpinga","Salpinga","Melastomataceae","herbaceous","Dry",50,50,3.91202300542815,0.7,0.9,0.6,0.8,"insects","biotic",3.34109345759245,224,3.16185576391224,5.69303357485301,3.90383310225168,5.69560390128382,5.68935227798271,7.90930352745375,3.41952746130811,6.88183782344715,6.00518564705994,-0.486932581659961,5.26164602883709,3.76433759276174,3.84258828487842,2.94385321951336,1,0,"closed","closed","closed",34.534,14,0.076,0.058,0.024,-0.22314355131421,-0.380088582078003
"Vochysiaceae_Salvertia","Salvertia","Vochysiaceae","woody","Dry",3,3,1.09861228866811,40,40,10,12,"insects","biotic",3.80666248977032,291,1.45271296009713,5.6966542595635,4.29665530283851,5.70245649779253,5.69080602663768,7.2931511862813,4.37110002713286,6.65447637738762,3.40195158266095,-1.16314648447392,5.29449588192046,2.98391170688585,3.9743082345456,2.78389011846751,0.25,0.75,"open","open","open",14.145,1,0,0,0,3.68887945411394,-1.1966482446564
"Melastomataceae_Sandemania","Sandemania","Melastomataceae","woody","Dry",100,100,4.60517018598809,0.8,0.9,0.45,0.5,"insects","biotic",1.38629436111989,34,1.27665301628498,5.69904761446013,3.95695368210553,5.7020662420844,5.69629039356497,7.67991886679053,3.89759927995579,6.81039979464102,5.37975918556717,-1.75872622783208,5.28689074515412,3.4844635932217,3.80162884542074,2.93742173171472,0.94,0.06,"closed","closed","closed",11.749,1,0,0,0,-0.162518929497775,-1.18711511430045
"Myrtaceae_Sannantha","Sannantha","Myrtaceae","woody","Dry",30,50,3.68887945411394,0.6,0.6,0.1,0.2,"insects","biotic",1.94591014905531,309,3.08017859371791,5.67442156486446,4.27038381311739,5.69113765714836,5.65493372700607,6.96440060328149,3.62794212757423,6.09879345412608,4.90159404007462,-0.539215996521101,5.09756375010882,3.39074128391391,4.06474313931413,2.86622994187992,0.84,0.16,"closed","closed","closed",27.076,16,0.102,0.079,0.034,-0.510825623765991,-0.218469132928454
"Melastomataceae_Sarcopyramis","Sarcopyramis","Melastomataceae","herbaceous","Dry",100,100,4.60517018598809,0.6,1,NA,NA,"insects","biotic",2.91777073208428,149,3.81307561568929,5.66956558791459,4.17260428288214,5.69518493183589,5.63962983549188,7.41283404670577,4.15581214210239,6.71231272200496,4.79101346275891,0.130791755921801,5.17865204534541,3.97182143164075,4.05000270472676,2.87826851648698,1,0,"closed","closed","closed",26.062,4,0.053,0.035,0.01,-0.22314355131421,0.552597300966576
"Myrtaceae_Scholtzia","Scholtzia","Myrtaceae","woody","Dry",1,1,0.405465108108164,0.8,1.9,NA,NA,"insects","biotic",1.74919985480926,234,0.179089959978679,5.67874967823395,4.48075076231193,5.70054248417252,5.65802962105539,6.13244627018378,4.32878930281135,5.59435246154939,3.25272128327627,-1.57022956699185,5.20484610603467,2.36738749825531,4.21630551795198,2.6705140257087,0,1,"open","open","open",18.225,43,0.206,0.17,0.09,0.300104592450338,-2.72370431791604
"Melastomataceae_Schwackaea","Schwackaea","Melastomataceae","herbaceous","Dry",50,50,3.91202300542815,0.5,0.6,3.5,5,"insects","biotic",1.79175946922805,50,2.6608070425301,5.69856974265917,3.69195681504609,5.70200380852635,5.69588581211525,7.70909026213046,4.26620473677708,6.9697536408388,4.26717510741562,-0.145499962966371,5.22959675040586,3.94553645236969,4.03850861479527,2.73532984588378,0.97,0.03,"closed","closed","closed",12,1,0,0,0,-0.59783700075562,0.175900392742098
"Myrtaceae_Seorsus","Seorsus","Myrtaceae","woody","Dry",5,12,2.39789527279837,1.2,1.4,NA,NA,"insects","biotic",2.35137525716348,16,-1.86136568421207,5.69075516906354,4.47931005591194,5.70266888202619,5.67619525048062,7.05076731214547,4.31262924204493,6.29239472742554,4.83216908881357,-2.06454036545739,5.2082782060747,3.61760123378816,4.19049274819193,2.69142478063473,0.08,0.92,"open","open","open",27.619,4,0.05,0.033,0.009,0.262364264467491,-5.1798696258897
