"family","n_points","ind_var","predictor","r.sqr","p","slope"
"Melastomataceae_CAPclade","115","div.rates","meanwatercap","0.026","0.083","+"
"Melastomataceae_CAPclade","115","div.rates","main_habitat","0","0.992","-"
"Vochysiaceae","fail","div.rates","most_common_life_form","fail","fail","fail"
"Vochysiaceae","fail","div.rates","fm_scoring_fruit","fail","fail","fail"
"Vochysiaceae","7","div.rates","seed.length.mean","0","0.965","-"
"Vochysiaceae","7","div.rates","niche_through_time","0.34","0.17","+"
"Vochysiaceae","7","div.rates","fm_scoring_seed_number","0.062","0.591","+"
"Vochysiaceae","7","div.rates","fm_scoring_corolla_diam","0.061","0.594","-"
"Vochysiaceae","7","div.rates","Vol","0.324","0.182","+"
"Vochysiaceae","7","div.rates","CHELSA_bio10_01","0.658","0.027","-"
"Vochysiaceae","7","div.rates","CHELSA_bio10_02","0.005","0.881","-"
"Vochysiaceae","7","div.rates","CHELSA_bio10_10","0.452","0.098","-"
"Vochysiaceae","7","div.rates","CHELSA_bio10_11","0.449","0.099","-"
"Vochysiaceae","7","div.rates","CHELSA_bio10_12","0.065","0.581","+"
"Vochysiaceae","7","div.rates","CHELSA_bio10_15","0.195","0.322","-"
"Vochysiaceae","7","div.rates","CHELSA_bio10_16","0","0.987","-"
"Vochysiaceae","7","div.rates","CHELSA_bio10_17","0.484","0.083","+"
"Vochysiaceae","7","div.rates","GLOBAL_SLOPE_10MIN","0.119","0.449","+"
"Vochysiaceae","7","div.rates","depthtobedrock2","0.045","0.649","-"
"Vochysiaceae","7","div.rates","meancarbon","0.112","0.463","+"
"Vochysiaceae","7","div.rates","meanpH","0.001","0.948","-"
"Vochysiaceae","7","div.rates","meanwatercap","0.038","0.676","+"
"Vochysiaceae","7","div.rates","main_habitat","0.059","0.599","+"
"Lythraceae","24","div.rates","most_common_life_form","0.344","0.003","-"
"Lythraceae","24","div.rates","fm_scoring_fruit","0.002","0.836","-"
"Lythraceae","24","div.rates","seed.length.mean","0.252","0.012","-"
"Lythraceae","24","div.rates","niche_through_time","0.495","0","+"
"Lythraceae","24","div.rates","fm_scoring_seed_number","0.007","0.688","+"
"Lythraceae","24","div.rates","fm_scoring_corolla_diam","0","0.955","+"
"Lythraceae","24","div.rates","Vol","0.479","0","+"
"Lythraceae","24","div.rates","CHELSA_bio10_01","0.01","0.637","-"
"Lythraceae","24","div.rates","CHELSA_bio10_02","0.238","0.015","+"
"Lythraceae","24","div.rates","CHELSA_bio10_10","0.031","0.411","+"
"Lythraceae","24","div.rates","CHELSA_bio10_11","0.029","0.423","-"
"Lythraceae","24","div.rates","CHELSA_bio10_12","0.111","0.112","-"
"Lythraceae","24","div.rates","CHELSA_bio10_15","0.105","0.123","+"
"Lythraceae","24","div.rates","CHELSA_bio10_16","0.058","0.257","-"
"Lythraceae","24","div.rates","CHELSA_bio10_17","0.082","0.176","-"
"Lythraceae","24","div.rates","GLOBAL_SLOPE_10MIN","0.007","0.7","-"
"Lythraceae","24","div.rates","depthtobedrock2","0.105","0.123","-"
"Lythraceae","24","div.rates","meancarbon","0.08","0.181","-"
"Lythraceae","24","div.rates","meanpH","0.061","0.244","+"
"Lythraceae","24","div.rates","meanwatercap","0.129","0.085","-"
"Lythraceae","24","div.rates","main_habitat","0.038","0.361","-"
